Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,84.4%,"2,900,000","2,900,000","4,000,000,000",
,,domain: vbox7.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,Yes,No,No,No,No,100,70.2%,"2,400,000","2,400,000","500,000,000",
,,domain: abv.bg,[D],Internet & Telecom > Email & Messaging,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,99,63.2%,"2,100,000","2,200,000","490,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,44.0%,"1,500,000","1,500,000","19,000,000",
,,domain: dir.bg,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 ,No,No,120x600 ,120x600 ,100,43.8%,"1,500,000","1,500,000","110,000,000",
,,domain: zamunda.net,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,39.6%,"1,300,000","1,300,000","190,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,39.3%,"1,300,000","1,300,000","12,000,000",
,,domain: gbg.bg,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 300x250 468x60 ,No,No,160x600 300x250 468x60 ,160x600 300x250 ,100,35.8%,"1,200,000","1,200,000","19,000,000",
,,domain: btv.bg,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,No,300x250 ,No,No,No,No,100,32.7%,"1,100,000","1,100,000","31,000,000",
,,domain: bg-mamma.com,[D],People & Society > Family & Relationships > Family > Parenting,Yes,No,Yes,No,No,No,No,99,29.6%,"1,000,000","1,000,000","28,000,000",
