Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: baidu.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,80.6%,"310,000,000","310,000,000","120,000,000,000",
,,domain: qq.com,[D],Internet & Telecom > Web Portals,Yes,Yes,36x24 43x29 45x30 90x55 139x104 144x30 150x25 151x32 165x32 200x200 207x81 240x40 250x250 275x58 295x220 300x250 300x400 319x100 336x280 340x195 450x50 468x60 480x70 960x90 960x300 1000x90 ,No,No,No,No,100,66.7%,"250,000,000","250,000,000","44,000,000,000",
,,domain: taobao.com,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,100,45.5%,"170,000,000","170,000,000","13,000,000,000",
,,domain: youku.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,200x200 250x250 300x250 336x280 ,No,No,No,No,100,37.9%,"140,000,000","140,000,000","4,100,000,000",
,,domain: soso.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,37.6%,"140,000,000","140,000,000","4,000,000,000",
,,domain: 163.com,[D],Internet & Telecom > Web Portals,Yes,Yes,50x50 52x52 120x36 120x40 120x60 145x90 148x480 300x250 350x250 748x90 ,No,No,No,No,100,34.5%,"130,000,000","130,000,000","6,500,000,000",
,,domain: sohu.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x30 80x30 80x80 82x27 122x92 130x98 142x92 144x50 150x25 177x27 200x200 250x250 280x150 292x150 300x180 300x250 336x280 390x40 400x60 450x50 480x70 600x50 675x60 675x65 690x480 800x95 950x100 ,No,No,No,No,99,34.0%,"130,000,000","130,000,000","6,500,000,000",
,,domain: hao123.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,31.1%,"120,000,000","120,000,000","7,800,000,000",
,,domain: tudou.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,28.7%,"110,000,000","110,000,000","2,500,000,000",
,,domain: sogou.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,21.4%,"81,000,000","81,000,000","2,100,000,000",
,,domain: 4399.com,[D],Games > Online Games,Yes,Yes,No,No,No,No,No,100,19.4%,"74,000,000","74,000,000","5,400,000,000",
,,domain: xunlei.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,17.8%,"68,000,000","68,000,000","2,300,000,000",
,,domain: ifeng.com,[D],Internet & Telecom > Web Portals,Yes,Yes,80x80 300x250 ,No,No,No,No,100,17.6%,"67,000,000","67,000,000","5,900,000,000",
,,domain: 56.com,[D],Arts & Entertainment > Online Media,Yes,Yes,200x200 250x250 300x250 336x280 ,No,No,No,No,100,17.6%,"67,000,000","67,000,000","870,000,000",
,,domain: tmall.com,[D],Shopping > Apparel,Yes,No,950x150 ,No,No,No,No,99,17.5%,"66,000,000","67,000,000","1,100,000,000",
,,domain: pps.tv,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,250x250 300x250 336x280 ,No,No,250x250 300x250 336x280 ,250x250 300x250 336x280 ,100,16.0%,"61,000,000","61,000,000","490,000,000",
,,domain: ku6.com,[D],Arts & Entertainment > Online Media,Yes,Yes,160x600 200x200 250x250 300x250 336x280 450x50 480x70 ,No,No,160x600 200x200 336x280 ,200x200 ,99,15.9%,"61,000,000","61,000,000","500,000,000",
,,domain: qiyi.com,[D],Arts & Entertainment > Movies,Yes,Yes,No,No,No,No,No,98,15.8%,"60,000,000","61,000,000","1,400,000,000",
,,domain: pengyou.com,[D],Online Communities,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,99,15.7%,"60,000,000","61,000,000","2,500,000,000",
,,domain: 7k7k.com,[D],Games > Computer & Video Games > Casual Games,Yes,Yes,728x90 ,No,No,728x90 ,No,100,13.1%,"50,000,000","50,000,000","3,600,000,000",
,,domain: soku.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,12.1%,"46,000,000","46,000,000","790,000,000",
,,domain: weibo.com,[D],Beauty & Fitness > Face & Body Care > Make-Up & Cosmetics,Yes,Yes,200x200 250x250 300x250 336x280 450x50 480x70 ,No,No,No,No,98,12.0%,"45,000,000","46,000,000","2,100,000,000",
,,domain: renren.com,[D],Online Communities > Social Networks,Yes,Yes,200x200 250x250 300x250 336x280 450x50 480x70 728x90 ,No,No,728x90 ,No,100,12.0%,"45,000,000","46,000,000","3,300,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,11.9%,"45,000,000","45,000,000","1,300,000,000",
,,domain: 17kuxun.com,[D],,No,No,No,No,No,No,No,100,11.9%,"45,000,000","45,000,000","170,000,000",
,,domain: 2345.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,11.0%,"42,000,000","42,000,000","2,100,000,000",
,,domain: qq937.com,[D],,No,No,No,No,No,No,No,100,11.0%,"42,000,000","42,000,000","250,000,000",
,,domain: 58.com,[D],Shopping > Classifieds,Yes,Yes,192x53 216x54 320x50 468x60 ,No,No,468x60 ,No,98,10.9%,"41,000,000","42,000,000","1,300,000,000",
,,domain: 360.cn,[D],Computers & Electronics > Computer Security > Antivirus & Malware,No,No,No,No,No,No,No,99,10.8%,"41,000,000","42,000,000","970,000,000",
,,domain: cy2009.com,[D],,No,No,No,No,No,No,No,100,10.0%,"38,000,000","38,000,000","120,000,000",
,,domain: 3992929.com,[D],,No,No,No,No,No,No,No,100,9.9%,"38,000,000","38,000,000","130,000,000",
,,domain: alipay.com,[D],Business & Industrial > Business Services > E-Commerce Services > Merchant Services & Payment Systems,Yes,Yes,125x125 193x104 300x250 468x60 ,No,No,No,No,100,9.8%,"37,000,000","37,000,000","960,000,000",
,,domain: cntv.cn,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,No,Yes,No,No,No,No,97,9.7%,"37,000,000","38,000,000","600,000,000",
,,domain: xinhuanet.com,[D],News,Yes,Yes,300x250 ,No,No,300x250 ,No,100,9.1%,"35,000,000","35,000,000","870,000,000",
,,domain: youdao.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,No,100,9.1%,"35,000,000","35,000,000","280,000,000",
,,domain: hudong.com,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,120x600 200x200 250x250 300x250 468x60 728x90 ,No,No,120x600 200x200 250x250 300x250 468x60 728x90 ,300x250 728x90 ,100,9.1%,"34,000,000","35,000,000","230,000,000",
,,domain: joy.cn,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,No,No,No,No,No,100,9.0%,"34,000,000","34,000,000","310,000,000",
,,domain: sdo.com,[D],Games > Online Games,Yes,Yes,280x140 ,No,No,No,No,100,9.0%,"34,000,000","34,000,000","230,000,000",
,,domain: ganji.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,No,No,No,No,No,100,9.0%,"34,000,000","34,000,000","980,000,000",
,,domain: paipai.com,[D],Shopping > Apparel,No,No,No,No,No,No,No,99,8.9%,"34,000,000","34,000,000","600,000,000",
,,domain: tianya.cn,[D],Online Communities,Yes,Yes,Yes,No,No,No,No,97,8.8%,"34,000,000","35,000,000","450,000,000",
,,domain: zol.com.cn,[D],Computers & Electronics > Computer Hardware,Yes,Yes,100x600 210x210 300x270 300x500 760x90 980x90 ,No,No,No,No,97,8.0%,"31,000,000","31,000,000","600,000,000",
,,domain: pconline.com.cn,[D],News > Local News,Yes,Yes,135x100 150x80 350x200 ,No,No,No,No,100,7.5%,"28,000,000","28,000,000","380,000,000",
,,domain: pptv.com,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,200x200 ,No,No,200x200 ,200x200 ,100,7.5%,"28,000,000","28,000,000","380,000,000",
