Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,84.8%,"1,800,000","1,800,000","2,100,000,000",
,,domain: net.hr,[D],News,Yes,Yes,120x600 160x600 250x250 300x250 468x60 728x90 ,No,No,No,No,99,51.7%,"1,100,000","1,100,000","130,000,000",
,,domain: 24sata.hr,[D],News,Yes,Yes,300x250 300x600 728x90 ,No,No,No,No,100,48.4%,"1,000,000","1,000,000","67,000,000",
,,domain: tportal.hr,[D],Internet & Telecom > Web Portals,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,98,47.5%,"1,000,000","1,000,000","50,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,44.2%,"930,000","930,000","13,000,000",
,,domain: njuskalo.hr,[D],Shopping > Classifieds,Yes,No,120x600 160x600 728x90 ,No,No,No,No,100,39.9%,"840,000","840,000","98,000,000",
,,domain: jutarnji.hr,[D],News,Yes,Yes,120x90 180x150 300x100 300x250 468x60 728x90 ,No,No,No,No,99,39.8%,"840,000","840,000","55,000,000",
,,domain: forum.hr,[D],Online Communities > Forum & Chat Providers,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,99,39.0%,"820,000","830,000","21,000,000",
,,domain: vecernji.hr,[D],News,Yes,Yes,120x60 120x90 120x240 120x600 125x125 160x600 180x150 250x250 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,32.8%,"690,000","690,000","24,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.7%,"620,000","630,000","4,600,000",
,,domain: dnevnik.hr,[D],News,Yes,No,300x250 ,No,No,No,No,99,29.5%,"620,000","630,000","17,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,22.2%,"470,000","470,000","26,000,000",
,,domain: coolinarika.com,[D],Food & Drink > Cooking & Recipes,Yes,No,728x90 ,No,No,No,No,100,20.5%,"430,000","430,000","15,000,000",
,,domain: blog.hr,[D],Online Communities > Blogging Resources & Services,Yes,Yes,160x600 174x174 200x200 300x250 336x280 468x60 728x90 ,No,No,160x600 200x200 300x250 336x280 468x60 728x90 ,160x600 200x200 300x250 336x280 468x60 728x90 ,100,20.4%,"430,000","430,000","2,200,000",
,,domain: prognoza.hr,[D],News > Weather,No,No,No,No,No,No,No,100,20.3%,"430,000","430,000","11,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,20.3%,"430,000","430,000","3,500,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,20.2%,"430,000","430,000","20,000,000",
,,domain: slobodnadalmacija.hr,[D],News,Yes,Yes,Yes,No,No,No,No,99,20.2%,"420,000","430,000","12,000,000",
,,domain: rtl.hr,[D],Law & Government > Military,Yes,Yes,250x250 468x60 728x90 ,No,No,No,No,99,20.2%,"420,000","430,000","6,800,000",
