Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.5%,"3,500,000","3,500,000","3,600,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,51.4%,"2,400,000","2,400,000","260,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,42.9%,"2,000,000","2,000,000","61,000,000",
,,domain: dmi.dk,[D],News > Weather,Yes,No,No,No,No,No,No,100,42.8%,"2,000,000","2,000,000","98,000,000",
,,domain: krak.dk,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,No,No,No,No,No,No,100,42.7%,"2,000,000","2,000,000","31,000,000",
,,domain: tv2.dk,[D],News > Newspapers,Yes,Yes,300x250 315x110 315x177 986x140 ,No,No,No,No,100,39.0%,"1,800,000","1,800,000","150,000,000",
,,domain: ekstrabladet.dk,[D],News > Newspapers,Yes,No,125x125 300x250 ,No,No,No,No,100,38.9%,"1,800,000","1,800,000","130,000,000",
,,domain: dr.dk,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,No,No,No,No,No,No,No,100,38.5%,"1,800,000","1,800,000","67,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,35.8%,"1,600,000","1,600,000","19,000,000",
,,domain: bt.dk,[D],News > Newspapers,Yes,No,129x200 ,No,No,No,No,100,32.4%,"1,500,000","1,500,000","66,000,000",
,,domain: dba.dk,[D],Shopping,Yes,Yes,300x250 930x180 ,No,No,No,No,100,31.9%,"1,500,000","1,500,000","170,000,000",
,,domain: degulesider.dk,[D],Reference > Directories & Listings > Business & Personal Listings,No,No,No,No,No,No,No,100,29.0%,"1,300,000","1,300,000","18,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,26.4%,"1,200,000","1,200,000","12,000,000",
