Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,56.5%,"31,000,000","31,000,000","18,000,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,51.0%,"28,000,000","28,000,000","2,500,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,38.6%,"21,000,000","22,000,000","1,200,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,29.0%,"16,000,000","16,000,000","210,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,22.1%,"12,000,000","12,000,000","160,000,000",
,,domain: rediff.com,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,100,22.0%,"12,000,000","12,000,000","1,300,000,000",
,,domain: orkut.co.in,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,19.8%,"11,000,000","11,000,000","870,000,000",
,,domain: orkut.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,17.9%,"9,800,000","9,900,000","81,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,14.9%,"8,200,000","8,300,000","62,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,13.6%,"7,500,000","7,500,000","140,000,000",
,,domain: in.com,[D],Internet & Telecom > Web Portals,Yes,Yes,300x250 728x90 ,No,No,No,No,100,13.5%,"7,400,000","7,500,000","110,000,000",
,,domain: snapdeal.com,[D],Shopping > Consumer Resources > Coupons & Discount Offers,Yes,No,No,No,No,No,No,99,13.5%,"7,400,000","7,500,000","34,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,12.2%,"6,700,000","6,700,000","50,000,000",
,,domain: indiatimes.com,[D],News > Newspapers,Yes,Yes,133x30 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,No,No,100,11.2%,"6,100,000","6,100,000","210,000,000",
,,domain: irctc.co.in,[D],Travel > Bus & Rail,Yes,No,210x200 ,No,No,No,No,100,10.2%,"5,600,000","5,600,000","250,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,10.1%,"5,600,000","5,600,000","260,000,000",
,,domain: zedo.com,[D],Business & Industrial > Advertising & Marketing,Yes,Yes,No,No,No,No,No,100,9.3%,"5,100,000","5,100,000","28,000,000",
,,domain: indianrail.gov.in,[D],Travel > Bus & Rail,Yes,No,No,No,No,No,No,99,9.1%,"5,000,000","5,100,000","210,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,8.5%,"4,700,000","4,700,000","150,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,8.3%,"4,600,000","4,600,000","26,000,000",
,,domain: songs.pk,[D],Arts & Entertainment > Music & Audio > World Music > South Asian Music,Yes,No,Yes,No,No,No,No,100,8.3%,"4,600,000","4,600,000","130,000,000",
,,domain: quikr.com,[D],Shopping > Classifieds,Yes,Yes,300x250 ,No,No,No,No,100,7.8%,"4,300,000","4,300,000","31,000,000",
,,domain: naukri.com,[D],Jobs & Education > Jobs,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,No,No,100,7.7%,"4,200,000","4,200,000","120,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,7.6%,"4,200,000","4,200,000","26,000,000",
,,domain: metacafe.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,7.6%,"4,200,000","4,200,000","74,000,000",
,,domain: tataindicom.com,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,No,Yes,No,No,No,No,98,7.5%,"4,100,000","4,200,000","130,000,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,7.0%,"3,900,000","3,900,000","34,000,000",
,,domain: mywebsearch.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,7.0%,"3,800,000","3,800,000","73,000,000",
,,domain: hdfcbank.com,[D],Finance > Banking,Yes,No,Yes,No,No,No,No,100,7.0%,"3,800,000","3,800,000","150,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,6.9%,"3,800,000","3,800,000","51,000,000",
,,domain: sulekha.com,[D],People & Society > Ethnic & Identity Groups > Asians & Diaspora > Southeast Asians & Pacific Islanders,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,120x600 160x600 300x250 468x60 728x90 ,120x600 160x600 300x250 728x90 ,100,6.9%,"3,800,000","3,800,000","34,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,6.4%,"3,500,000","3,500,000","55,000,000",
,,domain: icicibank.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,6.3%,"3,500,000","3,500,000","50,000,000",
,,domain: onlinesbi.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,6.3%,"3,500,000","3,500,000","140,000,000",
,,domain: way2sms.com,[D],Internet & Telecom > Mobile & Wireless,Yes,Yes,120x600 160x600 180x150 200x200 300x250 468x60 720x300 728x90 ,No,No,No,No,100,6.3%,"3,500,000","3,500,000","110,000,000",
,,domain: filestube.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,99,6.3%,"3,500,000","3,500,000","31,000,000",
