Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,69.1%,"15,000,000","15,000,000","5,900,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,51.5%,"11,000,000","11,000,000","730,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,42.8%,"9,000,000","9,000,000","210,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,26.3%,"5,500,000","5,600,000","67,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,18.5%,"3,900,000","3,900,000","31,000,000",
,,domain: kaskus.us,[D],World Localities > Asia > Southeast Asia > Indonesia,Yes,Yes,200x200 250x250 300x250 468x60 728x90 ,No,No,No,No,100,18.1%,"3,800,000","3,800,000","270,000,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,16.5%,"3,500,000","3,500,000","130,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,15.3%,"3,200,000","3,200,000","120,000,000",
,,domain: detik.com,[D],Internet & Telecom > Web Portals,Yes,No,280x250 300x250 ,No,No,No,No,100,15.0%,"3,200,000","3,200,000","74,000,000",
,,domain: vivanews.com,[D],News,Yes,No,300x100 300x250 728x90 ,No,No,No,No,99,11.2%,"2,400,000","2,400,000","61,000,000",
,,domain: kompas.com,[D],Internet & Telecom > Web Portals,Yes,Yes,240x400 300x100 300x250 468x60 720x300 728x90 ,No,No,No,No,99,10.2%,"2,100,000","2,200,000","67,000,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,10.2%,"2,100,000","2,200,000","9,100,000",
,,domain: tokobagus.com,[D],Shopping > Classifieds,Yes,No,No,No,No,No,No,99,10.1%,"2,100,000","2,100,000","55,000,000",
