Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.5%,"3,500,000","3,500,000","4,800,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,68.5%,"3,200,000","3,200,000","590,000,000",
,,domain: walla.co.il,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,100,56.5%,"2,600,000","2,600,000","600,000,000",
,,domain: ynet.co.il,[D],News,Yes,Yes,No,No,No,No,No,100,47.4%,"2,200,000","2,200,000","160,000,000",
,,domain: mako.co.il,[D],Arts & Entertainment,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,120x600 160x600 300x250 468x60 728x90 ,300x250 ,100,43.3%,"2,000,000","2,000,000","88,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.3%,"2,000,000","2,000,000","38,000,000",
,,domain: sekindo.com,[D],,No,No,No,No,No,No,No,100,42.1%,"1,900,000","1,900,000","21,000,000",
,,domain: nana10.co.il,[D],Online Communities > Forum & Chat Providers,Yes,Yes,120x600 160x600 300x250 728x90 ,No,No,120x600 160x600 300x250 728x90 ,160x600 ,100,38.5%,"1,800,000","1,800,000","81,000,000",
,,domain: tapuz.co.il,[D],Online Communities > Forum & Chat Providers,Yes,No,160x600 728x90 ,No,No,No,No,100,34.8%,"1,600,000","1,600,000","38,000,000",
,,domain: yad2.co.il,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,100,29.0%,"1,300,000","1,300,000","120,000,000",
,,domain: sekindo.co.il,[D],,No,No,No,No,No,No,No,99,28.7%,"1,300,000","1,300,000","6,700,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,26.4%,"1,200,000","1,200,000","13,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,26.4%,"1,200,000","1,200,000","90,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,24.0%,"1,100,000","1,100,000","11,000,000",
,,domain: sense.co.il,[D],Health > Reproductive Health > Infertility,No,No,No,No,No,No,No,98,23.9%,"1,100,000","1,100,000","4,700,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,22.0%,"1,000,000","1,000,000","38,000,000",
,,domain: d.co.il,[D],Home & Garden > Domestic Services,Yes,No,No,No,No,No,No,100,21.9%,"1,000,000","1,000,000","6,200,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,21.7%,"1,000,000","1,000,000","74,000,000",
,,domain: panet.co.il,[D],News,Yes,Yes,120x600 468x60 728x90 ,No,No,120x600 468x60 728x90 ,120x600 468x60 728x90 ,100,20.1%,"920,000","920,000","160,000,000",
,,domain: bankhapoalim.co.il,[D],Finance > Banking,No,No,No,No,No,No,No,100,19.9%,"920,000","920,000","41,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,19.9%,"910,000","920,000","16,000,000",
,,domain: fxp.co.il,[D],Reference > Directories & Listings,Yes,Yes,160x600 ,No,No,No,No,99,19.8%,"910,000","920,000","16,000,000",
,,domain: leadim.co.il,[D],,No,No,No,No,No,No,No,100,18.1%,"830,000","830,000","3,100,000",
,,domain: winwin.co.il,[D],Real Estate > Apartments & Residential Rentals,Yes,Yes,No,No,No,No,No,100,18.1%,"830,000","830,000","9,000,000",
,,domain: zap.co.il,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,No,No,No,No,No,No,100,16.5%,"760,000","760,000","26,000,000",
,,domain: cellon.co.il,[D],,Yes,No,No,No,No,No,No,100,16.5%,"760,000","760,000","2,600,000",
,,domain: yesno.co.il,[D],,No,No,No,No,No,No,No,100,16.5%,"760,000","760,000","2,400,000",
,,domain: themarker.com,[D],Books & Literature > Magazines,Yes,Yes,120x600 160x600 300x250 468x60 ,No,No,120x600 160x600 300x250 468x60 ,120x600 160x600 300x250 468x60 ,100,16.4%,"750,000","750,000","21,000,000",
,,domain: nrg.co.il,[D],News,Yes,Yes,120x600 300x250 ,No,No,120x600 300x250 ,120x600 300x250 ,98,16.4%,"750,000","770,000","13,000,000",
,,domain: net-games.co.il,[D],Games > Online Games,Yes,Yes,250x250 300x250 468x60 728x90 ,No,No,250x250 300x250 468x60 728x90 ,300x250 468x60 728x90 ,100,15.1%,"700,000","700,000","31,000,000",
