Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: yahoo.co.jp,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,75.2%,"74,000,000","74,000,000","32,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,45.9%,"45,000,000","46,000,000","5,300,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,42.5%,"42,000,000","42,000,000","720,000,000",
,,domain: rakuten.co.jp,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,80x60 120x60 192x53 238x47 300x250 320x50 375x48 468x60 486x60 600x178 728x90 ,No,No,300x250 ,No,98,41.5%,"41,000,000","42,000,000","4,100,000,000",
,,domain: goo.ne.jp,[D],Internet & Telecom > Web Portals,Yes,Yes,88x31 100x60 100x100 120x60 120x90 125x125 160x600 167x234 224x33 234x60 468x60 ,No,No,No,No,98,37.9%,"37,000,000","38,000,000","870,000,000",
,,domain: ameblo.jp,[D],Online Communities > Blogging Resources & Services,Yes,Yes,80x60 88x31 100x60 100x100 120x60 120x90 120x120 120x600 125x125 150x150 160x600 200x200 224x33 234x60 250x250 300x250 450x50 468x60 480x70 728x90 65536x100 ,No,No,120x600 160x600 200x200 250x250 300x250 728x90 ,120x600 160x600 200x200 250x250 300x250 728x90 ,99,34.5%,"34,000,000","34,000,000","1,900,000,000",
,,domain: amazon.co.jp,[D],Shopping > Shopping Portals & Search Engines,No,No,No,No,No,No,No,100,31.8%,"31,000,000","31,000,000","1,200,000,000",
,,domain: livedoor.jp,[D],Internet & Telecom > Web Portals,Yes,Yes,31x31 70x20 70x25 80x60 80x80 88x31 100x60 100x100 120x40 120x60 120x90 120x100 120x120 120x600 125x125 135x45 140x100 150x150 154x91 160x120 160x160 160x600 170x109 180x46 180x180 200x200 217x55 224x33 234x60 240x240 250x250 300x250 320x50 336x280 350x160 350x240 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,97,28.3%,"28,000,000","29,000,000","600,000,000",
,,domain: seesaa.net,[D],Online Communities > Blogging Resources & Services,Yes,Yes,31x31 40x40 60x80 70x70 80x60 80x80 85x31 88x31 100x60 100x100 114x160 120x60 120x90 120x120 120x240 120x600 125x125 130x18 135x45 150x150 150x220 154x21 154x91 160x160 160x300 160x600 165x100 180x150 185x45 200x60 200x150 200x200 224x33 224x100 234x60 238x60 245x17 250x250 280x60 300x160 300x250 300x300 336x280 350x80 350x160 350x240 450x50 468x60 480x70 728x90 820234x60 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,99,26.0%,"26,000,000","26,000,000","210,000,000",
,,domain: nifty.com,[D],Internet & Telecom > Web Portals,Yes,Yes,42x21 88x31 100x60 100x100 120x60 120x90 120x600 125x125 128x128 160x600 200x200 224x33 234x60 250x250 300x40 300x250 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,23.6%,"23,000,000","23,000,000","880,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,21.6%,"21,000,000","21,000,000","1,200,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,19.8%,"20,000,000","20,000,000","660,000,000",
,,domain: biglobe.ne.jp,[D],Internet & Telecom > Web Portals,Yes,Yes,36x20 82x18 88x31 100x60 100x100 120x60 120x120 120x600 125x125 160x600 200x200 224x33 234x60 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,17.9%,"18,000,000","18,000,000","550,000,000",
,,domain: geocities.jp,[D],Internet & Telecom > Web Services > Web Hosting & Domain Registration,Yes,Yes,57x18 59x15 64x23 65x98 70x70 80x60 80x80 80x110 88x31 100x60 100x100 100x200 120x60 120x90 120x120 120x600 125x33 125x40 125x120 125x125 128x128 146x34 160x600 200x200 224x33 234x60 250x250 300x250 320x50 336x280 350x80 350x248 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,99,17.8%,"18,000,000","18,000,000","190,000,000",
,,domain: hatena.ne.jp,[D],Online Communities > Blogging Resources & Services,Yes,Yes,Yes,No,No,No,No,98,17.5%,"17,000,000","18,000,000","130,000,000",
,,domain: kakaku.com,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,200x200 210x56 300x250 468x60 728x90 ,No,No,200x200 300x250 468x60 728x90 ,No,99,16.1%,"16,000,000","16,000,000","720,000,000",
,,domain: ocn.ne.jp,[D],Internet & Telecom > Web Portals,Yes,Yes,31x31 45x15 70x70 75x70 75x75 80x60 88x31 100x60 100x100 115x115 120x60 120x90 120x120 120x468 120x600 122x73 125x123 125x125 128x128 130x50 135x45 154x21 154x55 154x91 156x80 160x300 160x600 170x60 200x40 200x200 224x33 234x60 250x50 250x250 270x36 283x60 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,16.1%,"16,000,000","16,000,000","330,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,16.1%,"16,000,000","16,000,000","160,000,000",
