Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,74.9%,"12,000,000","12,000,000","14,000,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,50.8%,"8,100,000","8,200,000","730,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,42.2%,"6,800,000","6,800,000","170,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,20.0%,"3,200,000","3,200,000","31,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,19.9%,"3,200,000","3,200,000","61,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,19.7%,"3,100,000","3,100,000","190,000,000",
,,domain: maybank2u.com.my,[D],Finance,No,No,No,No,No,No,No,99,14.8%,"2,400,000","2,400,000","55,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,13.5%,"2,200,000","2,200,000","81,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,13.3%,"2,100,000","2,100,000","15,000,000",
,,domain: mudah.my,[D],Shopping > Classifieds,Yes,Yes,160x600 175x40 300x250 400x35 728x90 ,No,No,No,No,100,12.3%,"2,000,000","2,000,000","330,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,12.2%,"2,000,000","2,000,000","13,000,000",
,,domain: mozzi.biz,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones,No,No,No,No,No,No,No,99,11.1%,"1,800,000","1,800,000","5,600,000",
,,domain: baidu.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,10.1%,"1,600,000","1,600,000","60,000,000",
,,domain: airasia.com,[D],Travel > Air Travel,Yes,No,120x600 150x550 160x600 244x132 ,No,No,No,No,98,9.9%,"1,600,000","1,600,000","82,000,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,9.2%,"1,500,000","1,500,000","74,000,000",
,,domain: mydeal.com.my,[D],Travel > Car Rental & Taxi Services,Yes,No,No,No,No,No,No,100,8.5%,"1,400,000","1,400,000","4,600,000",
,,domain: blogger.com,[D],Online Communities > Blogging Resources & Services,No,No,No,No,No,No,No,99,8.3%,"1,300,000","1,300,000","41,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,7.6%,"1,200,000","1,200,000","6,800,000",
,,domain: scribd.com,[D],Online Communities > Social Networks,Yes,Yes,300x250 728x90 ,No,No,No,No,99,7.6%,"1,200,000","1,200,000","7,500,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,7.0%,"1,100,000","1,100,000","23,000,000",
,,domain: malaysiakini.com,[D],News,Yes,Yes,200x200 300x250 468x60 728x90 ,No,No,200x200 300x250 468x60 728x90 ,200x200 300x250 468x60 ,100,7.0%,"1,100,000","1,100,000","41,000,000",
,,domain: thestar.com.my,[D],News,Yes,Yes,120x600 336x280 728x90 ,No,No,120x600 728x90 ,No,100,6.9%,"1,100,000","1,100,000","31,000,000",
,,domain: mylaunchpad.com.my,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,99,6.8%,"1,100,000","1,100,000","19,000,000",
,,domain: cimbclicks.com.my,[D],Finance > Banking,No,No,No,No,No,No,No,100,6.3%,"1,000,000","1,000,000","12,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,6.3%,"1,000,000","1,000,000","18,000,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,5.8%,"930,000","930,000","6,800,000",
,,domain: mywebsearch.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,5.7%,"920,000","920,000","23,000,000",
,,domain: y8.com,[D],Arts & Entertainment > Fun & Trivia > Flash-Based Entertainment,Yes,Yes,728x90 ,No,No,728x90 ,No,100,5.7%,"910,000","910,000","81,000,000",
,,domain: cari.com.my,[D],Autos & Vehicles,Yes,Yes,120x600 300x250 468x60 728x90 ,No,No,120x600 300x250 468x60 728x90 ,120x600 300x250 468x60 728x90 ,99,5.6%,"900,000","910,000","42,000,000",
,,domain: pbebank.com,[D],Finance > Banking,No,No,No,No,No,No,No,99,5.2%,"840,000","840,000","34,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,5.2%,"830,000","830,000","2,900,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,5.2%,"830,000","830,000","11,000,000",
,,domain: hmetro.com.my,[D],Jobs & Education > Education,Yes,Yes,160x600 300x250 ,No,No,160x600 300x250 ,160x600 300x250 ,100,5.2%,"830,000","830,000","32,000,000",
,,domain: maxis.com.my,[D],Internet & Telecom > Service Providers,Yes,No,No,No,No,No,No,100,5.2%,"830,000","830,000","15,000,000",
,,domain: bharian.com.my,[D],Jobs & Education > Education,Yes,Yes,300x250 ,No,No,300x250 ,300x250 ,99,5.1%,"820,000","820,000","15,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,4.7%,"760,000","760,000","10,000,000",
,,domain: 701panduan.com,[D],Reference > Directories & Listings,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,99,4.7%,"760,000","770,000","3,500,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,4.7%,"750,000","760,000","7,500,000",
,,domain: utusan.com.my,[D],News,Yes,No,Yes,No,No,No,No,100,4.7%,"750,000","760,000","20,000,000",
,,domain: metacafe.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,4.7%,"750,000","750,000","13,000,000",
,,domain: lelong.com.my,[D],Shopping > Auctions,Yes,Yes,160x600 300x250 336x280 728x90 ,No,No,160x600 300x250 336x280 728x90 ,300x250 336x280 728x90 ,100,4.3%,"690,000","690,000","16,000,000",
,,domain: jobstreet.com.my,[D],Jobs & Education > Jobs > Job Listings,Yes,Yes,120x600 166x22 300x250 ,No,No,120x600 300x250 ,120x600 300x250 ,99,4.3%,"690,000","700,000","18,000,000",
,,domain: filestube.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,99,4.3%,"690,000","690,000","6,200,000",
,,domain: malaysiaairlines.com,[D],Travel > Air Travel,Yes,No,No,No,No,No,No,100,4.3%,"680,000","680,000","15,000,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,4.2%,"680,000","690,000","3,900,000",
,,domain: lowyat.net,[D],,Yes,No,Yes,No,No,No,No,97,4.2%,"670,000","690,000","13,000,000",
,,domain: digi.com.my,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones > Smart Phones,No,No,No,No,No,No,No,100,3.9%,"620,000","620,000","15,000,000",
,,domain: alibaba.com,[D],Business & Industrial > Transportation & Logistics > Import & Export,Yes,No,312x240 950x90 ,No,No,No,No,99,3.9%,"620,000","630,000","10,000,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,3.9%,"620,000","630,000","3,500,000",
,,domain: fbcdn.net,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,99,3.8%,"620,000","620,000","4,200,000",
,,domain: sportstoto.com.my,[D],,No,No,No,No,No,No,No,100,3.6%,"580,000","580,000","8,200,000",
,,domain: sogou.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,3.6%,"570,000","570,000","28,000,000",
,,domain: check4d.com,[D],,Yes,No,Yes,No,No,No,No,100,3.6%,"570,000","570,000","3,500,000",
,,domain: jobstreet.com,[D],Jobs & Education > Jobs,Yes,Yes,120x600 ,No,No,120x600 ,120x600 ,99,3.6%,"570,000","580,000","23,000,000",
,,domain: pps.tv,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,250x250 300x250 336x280 ,No,No,250x250 300x250 336x280 ,250x250 300x250 336x280 ,100,3.6%,"570,000","570,000","9,800,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,3.6%,"570,000","570,000","1,600,000",
,,domain: tagged.com,[D],Online Communities > Social Networks,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,3.5%,"560,000","570,000","170,000,000",
,,domain: mediafire.com,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,3.5%,"560,000","560,000","6,700,000",
,,domain: tripod.com,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,120x60 120x600 125x125 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,99,3.5%,"560,000","570,000","2,400,000",
,,domain: kosmo.com.my,[D],News > Journalism & News Industry,Yes,No,Yes,No,No,No,No,100,3.2%,"520,000","520,000","14,000,000",
,,domain: olx.com.my,[D],Real Estate > Apartments & Residential Rentals,Yes,Yes,728x90 ,No,No,728x90 ,No,100,3.2%,"510,000","510,000","4,300,000",
,,domain: gsc.com.my,[D],Arts & Entertainment > Entertainment Industry > Film & TV Industry > Film & TV Production,No,No,No,No,No,No,No,100,3.0%,"470,000","470,000","9,100,000",
,,domain: moe.gov.my,[D],Jobs & Education > Education,No,No,No,No,No,No,No,100,2.9%,"470,000","470,000","26,000,000",
,,domain: amazon.com,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,125x125 ,No,No,No,No,100,2.9%,"470,000","470,000","4,600,000",
,,domain: photobucket.com,[D],Online Communities > Photo & Video Sharing,Yes,Yes,160x600 200x200 250x250 300x250 336x280 728x90 ,No,No,160x600 300x250 728x90 ,No,100,2.9%,"470,000","470,000","4,700,000",
,,domain: soso.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,2.9%,"470,000","470,000","6,200,000",
,,domain: myspace.com,[D],,Yes,No,No,No,No,No,No,100,2.9%,"470,000","470,000","6,800,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,2.9%,"470,000","470,000","8,200,000",
,,domain: groupsmore.com,[D],Hobbies & Leisure > Recreational Aviation,No,No,No,No,No,No,No,100,2.9%,"470,000","470,000","3,500,000",
,,domain: miniclip.com,[D],Games > Online Games,Yes,Yes,300x250 324x76 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,100,2.9%,"470,000","470,000","11,000,000",
,,domain: agoda.com,[D],Travel > Hotels & Accommodations,No,No,No,No,No,No,No,100,2.9%,"460,000","460,000","6,900,000",
,,domain: glomobi.com,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones,No,No,No,No,No,No,No,99,2.9%,"460,000","470,000","1,200,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,2.9%,"460,000","470,000","3,500,000",
,,domain: zynga.com,[D],Games > Computer & Video Games > Casual Games,Yes,No,No,No,No,No,No,100,2.7%,"430,000","430,000","5,100,000",
,,domain: taobao.com,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,100,2.7%,"430,000","430,000","18,000,000",
,,domain: 4d2u.com,[D],,Yes,No,No,No,No,No,No,100,2.7%,"430,000","430,000","11,000,000",
,,domain: magnum4d.com.my,[D],,No,No,No,No,No,No,No,100,2.7%,"430,000","430,000","4,600,000",
,,domain: weebly.com,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,11x60 14x90 88x18 88x31 100x100 120x60 120x90 120x240 120x600 125x125 140x350 150x600 156x60 160x600 180x150 234x60 250x250 300x250 330x347 336x280 450x50 468x60 480x70 728x90 768x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,100,2.7%,"430,000","430,000","1,600,000",
,,domain: maybank2u.com,[D],Finance > Banking,No,No,No,No,No,No,No,100,2.7%,"420,000","420,000","2,200,000",
