Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,69.3%,"9,000,000","9,100,000","2,500,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,42.9%,"5,600,000","5,600,000","170,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,26.9%,"3,500,000","3,500,000","28,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,18.2%,"2,400,000","2,400,000","9,900,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,16.8%,"2,200,000","2,200,000","9,900,000",
,,domain: hespress.com,[D],News,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,16.6%,"2,200,000","2,200,000","38,000,000",
,,domain: inwi.ma,[D],Internet & Telecom > Mobile & Wireless,Yes,No,No,No,No,No,No,100,15.2%,"2,000,000","2,000,000","21,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,15.0%,"1,900,000","2,000,000","67,000,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,13.7%,"1,800,000","1,800,000","9,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,13.7%,"1,800,000","1,800,000","7,600,000",
,,domain: maktoob.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,10.4%,"1,300,000","1,300,000","20,000,000",
,,domain: commentcamarche.net,[D],News > Technology News,Yes,Yes,300x250 ,No,No,300x250 ,300x250 ,99,10.2%,"1,300,000","1,300,000","7,600,000",
,,domain: kooora.com,[D],News > Sports News,Yes,Yes,70x70 300x250 468x60 728x90 ,No,No,No,No,100,9.4%,"1,200,000","1,200,000","62,000,000",
,,domain: camzap.com,[D],Arts & Entertainment > Online Media > Webcams & Virtual Tours,No,No,No,No,No,No,No,100,8.6%,"1,100,000","1,100,000","2,900,000",
,,domain: lexilogos.com,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,Yes,No,No,No,No,100,8.6%,"1,100,000","1,100,000","3,800,000",
,,domain: iam.ma,[D],Internet & Telecom > Mobile & Wireless,Yes,No,No,No,No,No,No,100,8.6%,"1,100,000","1,100,000","26,000,000",
,,domain: skyrock.com,[D],Online Communities > Social Networks,Yes,Yes,Yes,No,No,No,No,100,8.5%,"1,100,000","1,100,000","15,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,8.5%,"1,100,000","1,100,000","11,000,000",
,,domain: 01net.com,[D],News > Technology News,Yes,Yes,146x32 ,No,No,No,No,100,8.5%,"1,100,000","1,100,000","8,900,000",
,,domain: startimes.com,[D],News > Broadcast & Network News,Yes,Yes,12x28 14x52 70x70 88x18 108x150 120x600 141x149 160x271 160x600 300x80 300x250 320x15 468x60 728x90 ,No,No,No,No,100,7.7%,"1,000,000","1,000,000","55,000,000",
,,domain: adsphinx.com,[D],,No,No,No,No,No,No,No,100,7.1%,"920,000","920,000","1,800,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,7.0%,"920,000","920,000","12,000,000",
,,domain: free.fr,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,61x15 88x18 100x30 120x90 200x150 250x105 728x90 ,No,No,No,No,100,6.4%,"830,000","830,000","3,500,000",
,,domain: y8.com,[D],Arts & Entertainment > Fun & Trivia > Flash-Based Entertainment,Yes,Yes,728x90 ,No,No,728x90 ,No,100,6.4%,"830,000","830,000","38,000,000",
,,domain: softonic.fr,[D],Computers & Electronics > Software > Freeware & Shareware,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,100,5.8%,"760,000","760,000","4,200,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,5.8%,"760,000","760,000","2,400,000",
,,domain: hibapress.com,[D],News,Yes,No,300x250 728x90 ,No,No,No,No,100,5.8%,"760,000","760,000","12,000,000",
,,domain: babylon.com,[D],Reference > Language Resources > Foreign Language Resources > Translation Tools & Resources,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 468x60 ,97,5.7%,"740,000","770,000","7,400,000",
,,domain: panet.co.il,[D],News,Yes,Yes,120x600 468x60 728x90 ,No,No,120x600 468x60 728x90 ,120x600 468x60 728x90 ,100,5.3%,"690,000","690,000","16,000,000",
,,domain: wat.tv,[D],Arts & Entertainment > TV & Video > Online Video,Yes,Yes,No,No,No,No,No,99,5.3%,"690,000","690,000","2,600,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,5.3%,"690,000","690,000","6,800,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,5.3%,"680,000","680,000","3,400,000",
,,domain: jeux.com,[D],Games > Online Games,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,120x600 160x600 300x250 468x60 728x90 ,120x600 160x600 300x250 728x90 ,100,5.3%,"680,000","680,000","18,000,000",
,,domain: over-blog.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,51x40 88x31 100x30 111x25 160x600 300x250 320x50 336x280 468x60 728x90 ,No,No,160x600 300x250 336x280 468x60 728x90 ,160x600 300x250 336x280 468x60 728x90 ,98,5.2%,"680,000","700,000","3,500,000",
,,domain: travian.ma,[D],Games > Roleplaying Games,No,No,No,No,No,No,No,100,4.4%,"570,000","570,000","1,800,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,4.4%,"570,000","570,000","840,000",
,,domain: clubic.com,[D],Computers & Electronics,Yes,Yes,120x90 250x250 300x100 300x250 300x600 468x60 728x90 ,No,No,No,No,99,4.4%,"570,000","570,000","2,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,4.4%,"570,000","570,000","1,500,000",
,,domain: jeux.fr,[D],Games > Online Games,Yes,Yes,300x160 300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,99,4.4%,"570,000","570,000","9,000,000",
,,domain: maktoobblog.com,[D],Jobs & Education > Education > Colleges & Universities,Yes,Yes,Yes,No,No,No,No,99,4.3%,"560,000","560,000","1,500,000",
,,domain: menara.ma,[D],Internet & Telecom > Web Portals,Yes,Yes,88x18 100x30 300x250 468x60 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,100,4.0%,"520,000","520,000","10,000,000",
,,domain: dafatir.com,[D],Jobs & Education > Education,Yes,Yes,120x600 200x200 468x60 728x90 ,No,No,No,No,99,4.0%,"520,000","520,000","8,100,000",
,,domain: vador.com,[D],Arts & Entertainment > Movies > Science Fiction & Fantasy Films,No,No,No,No,No,No,No,99,4.0%,"510,000","520,000","1,800,000",
,,domain: mbc.net,[D],Arts & Entertainment > TV & Video > TV Networks & Stations,Yes,Yes,160x600 220x550 300x250 728x90 ,No,No,160x600 300x250 728x90 ,300x250 728x90 ,99,4.0%,"510,000","520,000","14,000,000",
,,domain: aufeminin.com,[D],People & Society > Women's Interests,Yes,Yes,Yes,No,No,No,No,100,3.9%,"510,000","510,000","4,300,000",
,,domain: maroczik.com,[D],Arts & Entertainment > Music & Audio > Music Streams & Downloads,Yes,Yes,120x600 160x600 300x250 728x90 ,No,No,120x600 160x600 300x250 728x90 ,160x600 ,100,3.9%,"510,000","510,000","2,600,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,3.7%,"480,000","480,000","2,600,000",
,,domain: badoo.com,[D],Online Communities > Dating & Personals,Yes,No,No,No,No,No,No,100,3.7%,"470,000","470,000","28,000,000",
,,domain: ournia.com,[D],Arts & Entertainment > Celebrities & Entertainment News,Yes,Yes,120x600 300x250 468x60 ,No,No,120x600 300x250 468x60 ,120x600 300x250 468x60 ,99,3.6%,"470,000","470,000","1,200,000",
,,domain: hihi2.com,[D],Sports > Team Sports > Soccer,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,100,3.6%,"470,000","470,000","6,200,000",
,,domain: gamezer.com,[D],Games > Online Games > Massive Multiplayer,Yes,No,No,No,No,No,No,99,3.6%,"470,000","470,000","3,500,000",
,,domain: funlabo.com,[D],Games > Online Games,Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,300x250 336x280 728x90 ,100,3.6%,"470,000","470,000","9,900,000",
,,domain: doctissimo.fr,[D],Health,Yes,Yes,No,No,No,No,No,100,3.3%,"430,000","430,000","1,600,000",
,,domain: babel.com,[D],Online Communities,Yes,Yes,125x125 300x250 336x280 728x90 ,No,No,No,No,100,3.3%,"430,000","430,000","99,000,000",
,,domain: yoo7.com,[D],Online Communities > Forum & Chat Providers,Yes,Yes,160x600 250x250 300x250 336x280 468x60 728x90 ,No,No,160x600 250x250 300x250 336x280 468x60 728x90 ,160x600 250x250 300x250 336x280 468x60 728x90 ,100,3.3%,"430,000","430,000","1,600,000",
,,domain: ebuddy.com,[D],Internet & Telecom > Email & Messaging,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,No,100,3.3%,"430,000","430,000","6,100,000",
,,domain: qualipub.com,[D],,No,No,No,No,No,No,No,100,3.3%,"430,000","430,000","820,000",
,,domain: aljazeera.net,[D],News > Broadcast & Network News,Yes,No,160x600 300x250 468x60 728x90 ,No,No,No,No,100,3.3%,"420,000","420,000","3,800,000",
,,domain: tvfun.ma,[D],Arts & Entertainment > Movies,Yes,No,No,No,No,No,No,98,3.3%,"420,000","430,000","5,700,000",
,,domain: linternaute.com,[D],Books & Literature > Magazines,Yes,Yes,No,No,No,No,No,98,3.3%,"420,000","430,000","1,500,000",
,,domain: men.gov.ma,[D],Jobs & Education > Education,No,No,No,No,No,No,No,99,3.3%,"420,000","430,000","8,200,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,3.2%,"420,000","430,000","1,300,000",
,,domain: meditel.ma,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,No,No,No,No,No,No,98,3.2%,"420,000","430,000","5,600,000",
,,domain: imesh.com,[D],Arts & Entertainment > Music & Audio > Music Streams & Downloads,Yes,No,No,No,No,No,No,100,3.0%,"390,000","390,000","1,500,000",
,,domain: alwadifa-maroc.com,[D],,Yes,Yes,120x600 125x125 180x150 200x200 300x600 728x90 ,No,No,No,No,100,3.0%,"390,000","390,000","3,400,000",
,,domain: yabiladi.com,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 300x250 728x90 ,No,No,No,No,99,3.0%,"390,000","390,000","1,100,000",
,,domain: angege.com,[D],,No,No,No,No,No,No,No,100,3.0%,"390,000","390,000","1,500,000",
,,domain: lakome.com,[D],News,Yes,No,120x600 160x600 468x60 ,No,No,No,No,100,3.0%,"390,000","390,000","5,600,000",
,,domain: canalblog.com,[D],,Yes,No,No,No,No,No,No,100,3.0%,"390,000","390,000","1,100,000",
,,domain: cnops.org.ma,[D],Finance > Insurance > Health Insurance,No,No,No,No,No,No,No,99,3.0%,"390,000","390,000","5,600,000",
,,domain: jeeran.com,[D],Online Communities > Online Journals & Personal Sites,Yes,Yes,120x600 125x125 250x250 300x250 468x60 728x90 ,No,No,No,No,100,3.0%,"390,000","390,000","1,000,000",
,,domain: megaupload.com,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,98,3.0%,"380,000","390,000","1,900,000",
,,domain: actupc.info,[D],Computers & Electronics,Yes,No,Yes,No,No,No,No,100,3.0%,"380,000","390,000","910,000",
,,domain: windowslive.fr,[D],Internet & Telecom > Email & Messaging,Yes,No,Yes,No,No,No,No,98,2.9%,"380,000","390,000","760,000",
,,domain: eredan.com,[D],Games > Roleplaying Games,Yes,No,No,No,No,No,No,98,2.9%,"380,000","390,000","760,000",
,,domain: infos-du-net.com,[D],News > Technology News,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,98,2.9%,"380,000","390,000","1,200,000",
,,domain: alot.com,[D],Internet & Telecom > Web Apps & Online Tools,Yes,Yes,160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,300x250 728x90 ,98,2.9%,"380,000","390,000","1,900,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,2.9%,"380,000","390,000","2,900,000",
,,domain: hibamusic.com,[D],Arts & Entertainment > Music & Audio > World Music > Arab & Middle Eastern Music,Yes,Yes,160x600 336x280 468x60 728x90 ,No,No,160x600 336x280 468x60 728x90 ,160x600 336x280 468x60 728x90 ,100,2.7%,"360,000","360,000","1,000,000",
,,domain: facefou.com,[D],Arts & Entertainment > Humor,Yes,Yes,300x250 336x280 468x60 728x90 ,No,No,300x250 336x280 468x60 728x90 ,300x250 336x280 468x60 728x90 ,100,2.7%,"360,000","360,000","3,800,000",
,,domain: maghress.com,[D],News > Newspapers,Yes,Yes,250x250 300x250 468x60 728x90 ,No,No,No,No,100,2.7%,"350,000","350,000","1,000,000",
,,domain: almassae.press.ma,[D],News,Yes,No,No,No,No,No,No,100,2.7%,"350,000","350,000","3,400,000",
,,domain: marocannonces.com,[D],Shopping > Classifieds,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,No,99,2.7%,"350,000","350,000","15,000,000",
,,domain: bigpoint.com,[D],Games > Online Games,Yes,Yes,Yes,No,No,No,No,98,2.7%,"350,000","360,000","630,000",
,,domain: mediafire.com,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,2.7%,"350,000","350,000","1,800,000",
,,domain: mozilla.com,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,99,2.7%,"350,000","350,000","930,000",
,,domain: myegy.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,99,2.7%,"350,000","350,000","11,000,000",
,,domain: g9g.com,[D],Games > Online Games,Yes,Yes,160x600 336x280 728x90 ,No,No,No,No,99,2.7%,"350,000","350,000","9,100,000",
,,domain: sedty.com,[D],People & Society > Women's Interests,Yes,No,No,No,No,No,No,100,2.5%,"330,000","330,000","2,000,000",
,,domain: m5zn.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,300x250 336x280 468x60 728x90 ,No,No,300x250 336x280 468x60 728x90 ,300x250 336x280 468x60 728x90 ,100,2.5%,"320,000","320,000","1,000,000",
,,domain: 9rayti.com,[D],Jobs & Education > Education,Yes,No,250x250 468x60 ,No,No,No,No,100,2.5%,"320,000","320,000","2,200,000",
,,domain: bladi.net,[D],News > Local News,Yes,Yes,336x280 728x90 ,No,No,336x280 728x90 ,No,98,2.5%,"320,000","330,000","770,000",
,,domain: paypopup.com,[D],Business & Industrial > Advertising & Marketing,Yes,No,No,No,No,No,No,100,2.5%,"320,000","320,000","1,200,000",
,,domain: imageshack.us,[D],,Yes,No,300x250 728x90 ,No,No,No,No,100,2.5%,"320,000","320,000","1,100,000",
,,domain: metacafe.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,2.4%,"320,000","320,000","1,800,000",
,,domain: centerblog.net,[D],Online Communities > Blogging Resources & Services,Yes,Yes,120x600 234x60 300x250 468x60 728x90 ,No,No,No,No,100,2.4%,"320,000","320,000","840,000",
,,domain: e-monsite.com,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,120x600 160x600 250x250 300x250 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 468x60 728x90 ,120x600 160x600 250x250 300x250 468x60 728x90 ,99,2.4%,"320,000","320,000","1,000,000",
,,domain: skyrock.net,[D],,Yes,No,300x160 ,No,No,No,No,100,2.4%,"320,000","320,000","820,000",
,,domain: almountakhab.com,[D],Sports > Team Sports > Soccer,Yes,Yes,200x200 728x90 ,No,No,200x200 728x90 ,No,100,2.3%,"290,000","290,000","5,600,000",
,,domain: 2m.ma,[D],News,Yes,No,300x250 468x60 728x90 ,No,No,No,No,100,2.3%,"290,000","290,000","2,600,000",
,,domain: maroc15.com,[D],Arts & Entertainment > Music & Audio > World Music > Arab & Middle Eastern Music,Yes,No,No,No,No,No,No,100,2.3%,"290,000","290,000","1,500,000",
,,domain: assabah.press.ma,[D],People & Society > Ethnic & Identity Groups > Arabs & Middle Easterners,No,No,No,No,No,No,No,100,2.2%,"290,000","290,000","2,200,000",
,,domain: gnspf.com,[D],Internet & Telecom > Web Services > Affiliate Programs,No,No,No,No,No,No,No,99,2.2%,"290,000","290,000","1,000,000",
,,domain: azyya.com,[D],Beauty & Fitness > Fashion & Style,Yes,No,No,No,No,No,No,100,2.2%,"290,000","290,000","2,200,000",
,,domain: ilivid.com,[D],Computers & Electronics > Software > Software Utilities,Yes,No,No,No,No,No,No,100,2.2%,"290,000","290,000","390,000",
,,domain: casafree.com,[D],,Yes,Yes,250x250 728x90 ,No,No,No,No,100,2.2%,"290,000","290,000","700,000",
