Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,90.8%,"7,400,000","7,500,000","14,000,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,81.9%,"6,700,000","6,700,000","1,300,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.1%,"3,200,000","3,200,000","60,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,31.8%,"2,600,000","2,600,000","50,000,000",
,,domain: enterfactory.com,[D],Internet & Telecom > Service Providers > ISPs,No,No,No,No,No,No,No,100,24.1%,"2,000,000","2,000,000","9,900,000",
,,domain: sulit.com.ph,[D],Shopping > Classifieds,Yes,No,300x250 728x90 ,No,No,No,No,99,19.6%,"1,600,000","1,600,000","61,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,18.1%,"1,500,000","1,500,000","38,000,000",
,,domain: answers.com,[D],Reference > General Reference,Yes,Yes,160x600 250x250 300x250 320x50 ,No,No,No,320x50 ,100,18.0%,"1,500,000","1,500,000","16,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,17.9%,"1,500,000","1,500,000","16,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,16.6%,"1,400,000","1,400,000","61,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,14.9%,"1,200,000","1,200,000","51,000,000",
