Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,60.4%,"14,000,000","15,000,000","1,700,000,000",
,,domain: onet.pl,[D],Internet & Telecom > Web Portals,Yes,No,Yes,No,No,No,No,100,60.1%,"14,000,000","14,000,000","3,000,000,000",
,,domain: wp.pl,[D],,Yes,No,No,No,No,No,No,100,59.7%,"14,000,000","14,000,000","1,700,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,54.9%,"13,000,000","13,000,000","4,400,000,000",
,,domain: allegro.pl,[D],Shopping > Auctions,Yes,Yes,232x290 300x300 620x100 728x90 ,No,No,No,No,99,54.5%,"13,000,000","13,000,000","3,600,000,000",
,,domain: nk.pl,[D],Online Communities > Social Networks,Yes,Yes,160x600 468x60 728x90 ,No,No,160x600 468x60 728x90 ,160x600 468x60 ,99,53.9%,"13,000,000","13,000,000","4,000,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,46.1%,"11,000,000","11,000,000","170,000,000",
,,domain: interia.pl,[D],Internet & Telecom > Web Portals,Yes,Yes,150x69 ,No,No,No,No,100,41.7%,"10,000,000","10,000,000","650,000,000",
,,domain: gazeta.pl,[D],News > Newspapers,Yes,Yes,300x250 468x60 ,No,No,300x250 468x60 ,468x60 ,100,40.8%,"9,800,000","9,800,000","310,000,000",
,,domain: otomoto.pl,[D],Autos & Vehicles > Vehicle Shopping,Yes,No,Yes,No,No,No,No,100,23.4%,"5,600,000","5,600,000","450,000,000",
,,domain: chomikuj.pl,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,23.1%,"5,500,000","5,600,000","81,000,000",
,,domain: zumi.pl,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,300x250 ,No,No,No,No,100,23.0%,"5,500,000","5,500,000","51,000,000",
,,domain: gry.pl,[D],Arts & Entertainment > Fun & Trivia > Flash-Based Entertainment,Yes,Yes,300x250 728x90 ,No,No,No,No,98,23.0%,"5,500,000","5,600,000","340,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,21.2%,"5,100,000","5,100,000","41,000,000",
,,domain: ceneo.pl,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,No,No,No,No,No,No,100,21.1%,"5,100,000","5,100,000","67,000,000",
,,domain: o2.pl,[D],Internet & Telecom > Web Portals,Yes,Yes,728x90 ,No,No,728x90 ,728x90 ,99,21.0%,"5,000,000","5,100,000","210,000,000",
,,domain: pf.pl,[D],Shopping > Classifieds,Yes,No,Yes,No,No,No,No,100,21.0%,"5,000,000","5,000,000","19,000,000",
,,domain: wrzuta.pl,[D],Arts & Entertainment > Online Media,Yes,No,No,No,No,No,No,100,19.3%,"4,600,000","4,600,000","88,000,000",
,,domain: groupon.pl,[D],Reference > Directories & Listings,No,No,No,No,No,No,No,100,19.1%,"4,600,000","4,600,000","38,000,000",
