Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,82.4%,"4,200,000","4,300,000","8,600,000,000",
,,domain: sapo.pt,[D],Internet & Telecom > Web Portals,Yes,Yes,11x60 120x90 120x120 125x125 160x120 160x600 240x170 300x250 300x600 468x60 500x150 ,No,No,No,No,100,69.1%,"3,500,000","3,500,000","500,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,67.8%,"3,500,000","3,500,000","600,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,61.8%,"3,200,000","3,200,000","88,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,56.6%,"2,900,000","2,900,000","110,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,42.9%,"2,200,000","2,200,000","31,000,000",
,,domain: xl.pt,[D],Internet & Telecom > Web Portals,Yes,No,468x60 ,No,No,No,No,100,35.0%,"1,800,000","1,800,000","89,000,000",
,,domain: olx.pt,[D],Shopping > Classifieds,Yes,Yes,728x90 ,No,No,No,No,100,32.0%,"1,600,000","1,600,000","74,000,000",
,,domain: iol.pt,[D],News,Yes,Yes,300x250 728x90 ,No,No,No,No,99,31.9%,"1,600,000","1,600,000","160,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,31.7%,"1,600,000","1,600,000","18,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,28.7%,"1,500,000","1,500,000","38,000,000",
,,domain: uol.com.br,[D],Internet & Telecom > Web Portals,Yes,Yes,110x55 120x60 120x240 120x600 140x60 150x400 180x80 180x150 250x90 300x250 468x60 728x90 ,No,No,No,No,100,26.4%,"1,300,000","1,300,000","28,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,25.9%,"1,300,000","1,300,000","9,000,000",
,,domain: pai.pt,[D],Shopping > Auctions,Yes,No,180x100 300x250 728x90 ,No,No,No,No,100,24.1%,"1,200,000","1,200,000","9,000,000",
,,domain: abola.pt,[D],News > Sports News,Yes,No,No,No,No,No,No,100,23.9%,"1,200,000","1,200,000","80,000,000",
,,domain: coisas.com,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,100,23.9%,"1,200,000","1,200,000","42,000,000",
,,domain: hi5.com,[D],Online Communities > Social Networks,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,100,21.7%,"1,100,000","1,100,000","180,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,19.8%,"1,000,000","1,000,000","19,000,000",
,,domain: portaldasfinancas.gov.pt,[D],Law & Government > Government > Public Finance,No,No,No,No,No,No,No,100,19.7%,"1,000,000","1,000,000","97,000,000",
,,domain: terra.com.br,[D],News,Yes,No,120x240 300x250 300x600 468x60 728x90 ,No,No,No,No,100,19.7%,"1,000,000","1,000,000","16,000,000",
,,domain: meteo.pt,[D],News > Weather,No,No,No,No,No,No,No,100,19.7%,"1,000,000","1,000,000","16,000,000",
,,domain: jogossantacasa.pt,[D],,No,No,No,No,No,No,No,99,19.6%,"1,000,000","1,000,000","23,000,000",
,,domain: publico.pt,[D],News,Yes,No,Yes,No,No,No,No,99,19.5%,"990,000","1,000,000","12,000,000",
,,domain: cgd.pt,[D],Finance > Banking,No,No,No,No,No,No,No,100,18.1%,"930,000","930,000","99,000,000",
,,domain: aeiou.pt,[D],Internet & Telecom > Mobile & Wireless,Yes,Yes,962x678 978x678 ,No,No,No,No,100,18.0%,"920,000","920,000","28,000,000",
,,domain: custojusto.pt,[D],Autos & Vehicles,Yes,Yes,No,No,No,No,No,99,17.9%,"920,000","920,000","81,000,000",
,,domain: clix.pt,[D],Internet & Telecom > Web Portals,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,300x250 468x60 728x90 ,100,17.9%,"910,000","910,000","38,000,000",
,,domain: baixaki.com.br,[D],Internet & Telecom,Yes,Yes,120x600 160x600 300x250 336x280 728x90 ,No,No,No,No,98,17.7%,"900,000","920,000","14,000,000",
,,domain: brincar.pt,[D],Games > Online Games,Yes,Yes,120x600 300x250 468x60 728x90 ,No,No,120x600 300x250 468x60 728x90 ,No,100,16.6%,"840,000","840,000","34,000,000",
,,domain: badoo.com,[D],Online Communities > Dating & Personals,Yes,No,No,No,No,No,No,100,16.5%,"840,000","840,000","120,000,000",
,,domain: jn.pt,[D],Computers & Electronics > Software > Device Drivers,Yes,No,216x36 300x100 300x600 ,No,No,No,No,100,16.3%,"830,000","830,000","18,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,16.3%,"830,000","840,000","13,000,000",
,,domain: expresso.pt,[D],News > Newspapers,Yes,No,No,No,No,No,No,100,16.2%,"830,000","830,000","10,000,000",
,,domain: hotfrog.pt,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,No,99,14.8%,"760,000","760,000","3,500,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,14.8%,"760,000","760,000","4,700,000",
,,domain: millenniumbcp.pt,[D],Finance > Banking,No,No,No,No,No,No,No,100,14.8%,"760,000","760,000","60,000,000",
,,domain: dn.pt,[D],News > Newspapers,Yes,No,216x36 300x600 500x150 ,No,No,No,No,99,14.7%,"750,000","760,000","11,000,000",
,,domain: rtp.pt,[D],Arts & Entertainment > TV & Video,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,No,99,14.5%,"740,000","750,000","9,000,000",
,,domain: booking.com,[D],Travel > Hotels & Accommodations,Yes,No,No,No,No,No,No,100,13.7%,"700,000","700,000","18,000,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,13.5%,"690,000","690,000","3,500,000",
,,domain: leiloes.net,[D],Reference > Geographic Reference,Yes,Yes,Yes,No,No,No,No,100,13.4%,"680,000","680,000","23,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,13.4%,"680,000","680,000","5,000,000",
,,domain: scribd.com,[D],Online Communities > Social Networks,Yes,Yes,300x250 728x90 ,No,No,No,No,99,13.4%,"680,000","690,000","2,600,000",
,,domain: pgmediaserve.com,[D],,No,No,No,No,No,No,No,100,13.3%,"680,000","680,000","2,400,000",
,,domain: standvirtual.com,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,Yes,No,No,No,No,100,12.4%,"630,000","630,000","80,000,000",
,,domain: min-edu.pt,[D],Jobs & Education > Education,No,No,No,No,No,No,No,100,12.3%,"630,000","630,000","28,000,000",
,,domain: blogger.com,[D],Online Communities > Blogging Resources & Services,No,No,No,No,No,No,No,99,12.2%,"620,000","630,000","14,000,000",
,,domain: partypoker.com,[D],,Yes,No,No,No,No,No,No,99,12.2%,"620,000","630,000","2,000,000",
,,domain: test-telemovel.com,[D],,No,No,No,No,No,No,No,100,12.1%,"620,000","620,000","2,400,000",
,,domain: ionline.pt,[D],News,Yes,No,No,No,No,No,No,100,11.3%,"570,000","570,000","3,800,000",
,,domain: reuniaoemportugal.com,[D],,No,No,No,No,No,No,No,100,11.2%,"570,000","570,000","1,500,000",
,,domain: ojogo.pt,[D],Sports > Team Sports > Soccer,Yes,Yes,Yes,No,No,No,No,100,11.2%,"570,000","570,000","17,000,000",
,,domain: betclic.com,[D],,No,No,No,No,No,No,No,100,11.1%,"570,000","570,000","7,500,000",
,,domain: orkut.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,11.1%,"560,000","570,000","280,000,000",
,,domain: bes.pt,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,11.1%,"560,000","570,000","19,000,000",
,,domain: trovit.pt,[D],Shopping > Classifieds,Yes,Yes,No,No,No,No,No,99,11.1%,"560,000","570,000","9,000,000",
,,domain: mypengo.com,[D],Autos & Vehicles > Custom & Performance Vehicles,No,No,No,No,No,No,No,100,10.3%,"520,000","520,000","1,300,000",
,,domain: hot-private-show.com.pt,[D],,No,No,No,No,No,No,No,100,10.2%,"520,000","520,000","1,800,000",
,,domain: rcts.pt,[D],Home & Garden > Home Appliances,Yes,No,No,No,No,No,No,99,10.2%,"520,000","520,000","5,600,000",
,,domain: tmn.pt,[D],Internet & Telecom > Mobile & Wireless,No,No,No,No,No,No,No,100,10.1%,"520,000","520,000","19,000,000",
,,domain: bpinet.pt,[D],Finance > Banking,No,No,No,No,No,No,No,100,10.1%,"510,000","520,000","18,000,000",
,,domain: ojogos.pt,[D],Games > Online Games,Yes,Yes,300x250 728x90 ,No,No,No,No,99,10.1%,"510,000","520,000","19,000,000",
,,domain: letsbonus.com,[D],,Yes,No,No,No,No,No,No,100,10.1%,"510,000","510,000","2,400,000",
,,domain: megaupload.com,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,98,10.0%,"510,000","520,000","7,400,000",
,,domain: groupon.pt,[D],Reference > Geographic Reference > Maps,No,No,No,No,No,No,No,99,10.0%,"510,000","520,000","2,400,000",
,,domain: blinko.pt,[D],Online Communities > Social Networks,Yes,No,No,No,No,No,No,98,10.0%,"510,000","520,000","1,300,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,9.3%,"480,000","480,000","6,800,000",
,,domain: vodafone.pt,[D],Internet & Telecom > Mobile & Wireless,Yes,No,No,No,No,No,No,100,9.3%,"470,000","470,000","11,000,000",
,,domain: santandertotta.pt,[D],Finance > Banking,No,No,No,No,No,No,No,100,9.2%,"470,000","470,000","26,000,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,9.2%,"470,000","470,000","9,100,000",
,,domain: laredoute.pt,[D],Shopping > Apparel,Yes,No,No,No,No,No,No,100,9.2%,"470,000","470,000","20,000,000",
,,domain: globo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,180x150 300x250 300x600 468x60 ,No,No,No,No,100,9.2%,"470,000","470,000","14,000,000",
,,domain: seg-social.pt,[D],Law & Government > Government,No,No,No,No,No,No,No,99,9.1%,"460,000","470,000","28,000,000",
,,domain: fileserve.com,[D],Online Communities > File Sharing & Hosting,No,No,No,No,No,No,No,97,9.0%,"460,000","470,000","5,600,000",
,,domain: pcmegarapido.com,[D],Computers & Electronics > Software > Software Utilities,No,No,No,No,No,No,No,100,8.5%,"430,000","430,000","1,200,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,8.4%,"430,000","430,000","9,100,000",
