Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,75.1%,"3,200,000","3,200,000","4,000,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,38.4%,"1,600,000","1,600,000","120,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,26.8%,"1,100,000","1,100,000","13,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,26.5%,"1,100,000","1,100,000","15,000,000",
,,domain: blic.rs,[D],News,Yes,Yes,120x60 120x90 300x100 300x250 468x60 728x90 ,No,No,No,No,100,23.8%,"1,000,000","1,000,000","56,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,23.8%,"1,000,000","1,000,000","61,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,21.7%,"910,000","920,000","7,400,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.8%,"830,000","840,000","6,200,000",
,,domain: krstarica.com,[D],World Localities > Europe > Central & Eastern Europe,Yes,Yes,160x600 234x60 300x250 468x60 728x90 ,No,No,No,No,100,17.9%,"750,000","750,000","21,000,000",
,,domain: b92.net,[D],Internet & Telecom > Web Portals,Yes,Yes,120x60 160x600 234x60 250x250 300x250 336x280 468x60 728x90 ,No,No,No,No,99,17.8%,"750,000","760,000","26,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,13.5%,"570,000","570,000","10,000,000",
,,domain: kurir-info.rs,[D],News > Gossip & Tabloid News,Yes,No,180x150 ,No,No,No,No,99,13.4%,"560,000","570,000","31,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,12.3%,"520,000","520,000","9,100,000",
,,domain: naslovi.net,[D],News,Yes,Yes,120x600 300x250 728x90 ,No,No,No,No,97,12.1%,"510,000","520,000","10,000,000",
,,domain: vukajlija.com,[D],Reference > General Reference > Dictionaries & Encyclopedias,Yes,Yes,Yes,No,No,No,No,99,11.2%,"470,000","470,000","10,000,000",
,,domain: y8.com,[D],Arts & Entertainment > Fun & Trivia > Flash-Based Entertainment,Yes,Yes,728x90 ,No,No,728x90 ,No,100,11.1%,"470,000","470,000","50,000,000",
,,domain: pressonline.rs,[D],Home & Garden > Home Furnishings > Lamps & Lighting,Yes,No,No,No,No,No,No,98,11.0%,"460,000","470,000","15,000,000",
,,domain: yepp-yepp.com,[D],Internet & Telecom > Mobile & Wireless,No,No,No,No,No,No,No,100,10.3%,"430,000","430,000","1,800,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,10.2%,"430,000","430,000","2,400,000",
,,domain: telegrafi.com,[D],Sports > Combat Sports > Boxing,No,No,No,No,No,No,No,100,10.1%,"420,000","420,000","26,000,000",
,,domain: camzap.com,[D],Arts & Entertainment > Online Media > Webcams & Virtual Tours,No,No,No,No,No,No,No,100,9.3%,"390,000","390,000","1,500,000",
,,domain: polovniautomobili.com,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,120x600 300x250 728x90 ,No,No,No,No,99,9.2%,"390,000","390,000","73,000,000",
,,domain: novosti.rs,[D],News,Yes,Yes,160x600 300x100 300x250 468x60 728x90 ,No,No,No,No,99,9.1%,"380,000","390,000","9,900,000",
,,domain: skype.com,[D],Internet & Telecom > Email & Messaging > Voice & Video Chat,Yes,Yes,209x209 ,No,No,No,No,98,9.1%,"380,000","390,000","2,600,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,8.3%,"350,000","350,000","1,500,000",
,,domain: rts.rs,[D],People & Society > Ethnic & Identity Groups > Eastern Europeans,Yes,No,Yes,No,No,No,No,99,8.3%,"350,000","350,000","9,100,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,7.7%,"330,000","330,000","3,500,000",
,,domain: igrezadecu.com,[D],People & Society,Yes,No,No,No,No,No,No,100,7.7%,"320,000","320,000","26,000,000",
,,domain: telekom.rs,[D],Internet & Telecom,Yes,No,No,No,No,No,No,100,7.7%,"320,000","320,000","10,000,000",
,,domain: aladin.info,[D],World Localities > Europe > Southeastern Europe > Serbia,Yes,Yes,160x600 300x250 336x280 468x60 728x90 ,No,No,No,No,100,7.7%,"320,000","320,000","2,400,000",
