Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,76.5%,"2,400,000","2,400,000","3,000,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,75.9%,"2,400,000","2,400,000","370,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,52.6%,"1,600,000","1,600,000","67,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,52.1%,"1,600,000","1,600,000","170,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,47.4%,"1,500,000","1,500,000","37,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.9%,"1,400,000","1,400,000","26,000,000",
,,domain: dbs.com,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,29.5%,"910,000","930,000","12,000,000",
,,domain: singpass-services.gov.sg,[D],,No,No,No,No,No,No,No,100,26.8%,"830,000","830,000","6,800,000",
,,domain: dbs.com.sg,[D],Finance > Banking,No,No,No,No,No,No,No,100,26.7%,"830,000","830,000","16,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,24.3%,"750,000","770,000","9,100,000",
,,domain: psi.gov.sg,[D],Law & Government > Social Services,No,No,No,No,No,No,No,100,22.2%,"690,000","690,000","23,000,000",
,,domain: streetdirectory.com,[D],Reference > Geographic Reference > Maps,Yes,Yes,336x280 ,No,No,336x280 ,336x280 ,100,22.1%,"690,000","690,000","6,200,000",
,,domain: singaporepools.com.sg,[D],,No,No,No,No,No,No,No,100,20.3%,"630,000","630,000","13,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,20.2%,"630,000","630,000","15,000,000",
,,domain: baidu.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,20.1%,"620,000","620,000","37,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,19.9%,"620,000","620,000","6,800,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,18.3%,"570,000","570,000","8,300,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,16.9%,"520,000","520,000","19,000,000",
,,domain: cpf.gov.sg,[D],Law & Government > Social Services,No,No,No,No,No,No,No,100,16.8%,"520,000","520,000","20,000,000",
