Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,68.3%,"2,900,000","2,900,000","2,500,000,000",
,,domain: zoznam.sk,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,100,51.5%,"2,200,000","2,200,000","120,000,000",
,,domain: azet.sk,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 250x250 300x100 468x60 728x90 ,No,No,No,No,100,51.3%,"2,200,000","2,200,000","660,000,000",
,,domain: sme.sk,[D],Games > Computer & Video Games,Yes,Yes,120x20 120x120 120x600 160x600 300x60 300x300 490x200 530x100 980x100 990x100 ,No,No,120x600 160x600 ,120x600 160x600 ,100,42.7%,"1,800,000","1,800,000","74,000,000",
,,domain: atlas.sk,[D],People & Society,Yes,Yes,Yes,No,No,No,No,97,38.2%,"1,600,000","1,600,000","34,000,000",
,,domain: topky.sk,[D],World Localities > Europe > Central & Eastern Europe,Yes,Yes,Yes,No,No,No,No,100,35.0%,"1,500,000","1,500,000","90,000,000",
,,domain: aktuality.sk,[D],News,Yes,Yes,160x600 250x250 300x100 468x60 728x90 ,No,No,No,No,100,31.9%,"1,300,000","1,300,000","38,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,29.4%,"1,200,000","1,200,000","11,000,000",
,,domain: centrum.sk,[D],Reference > General Reference > Educational Resources,Yes,Yes,Yes,No,No,No,No,100,29.3%,"1,200,000","1,200,000","61,000,000",
,,domain: cas.sk,[D],Books & Literature > Magazines,Yes,Yes,Yes,No,No,No,No,100,26.5%,"1,100,000","1,100,000","50,000,000",
,,domain: pravda.sk,[D],News > Newspapers,Yes,Yes,468x60 ,No,No,468x60 ,No,100,26.4%,"1,100,000","1,100,000","28,000,000",
,,domain: bazos.sk,[D],Shopping > Classifieds,Yes,No,120x600 728x90 ,No,No,No,No,99,21.7%,"910,000","920,000","120,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,19.8%,"830,000","840,000","4,600,000",
,,domain: markiza.sk,[D],Books & Literature > Magazines,Yes,No,65x49 300x100 300x250 300x300 480x300 640x260 1000x100 ,No,No,No,No,99,19.7%,"830,000","830,000","15,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,18.0%,"750,000","770,000","6,200,000",
,,domain: slsp.sk,[D],Finance > Banking,No,No,No,No,No,No,No,98,17.7%,"740,000","760,000","38,000,000",
,,domain: porada.sk,[D],Business & Industrial,Yes,Yes,160x600 300x250 728x90 960x250 ,No,No,300x250 728x90 ,300x250 728x90 ,100,16.5%,"690,000","690,000","3,900,000",
,,domain: profesia.sk,[D],Jobs & Education > Jobs,Yes,Yes,120x600 250x250 728x90 ,No,No,120x600 250x250 728x90 ,120x600 250x250 728x90 ,100,16.4%,"690,000","690,000","38,000,000",
,,domain: autobazar.eu,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,120x600 728x90 ,No,No,120x600 728x90 ,120x600 728x90 ,100,14.9%,"630,000","630,000","81,000,000",
,,domain: mojevideo.sk,[D],Arts & Entertainment,Yes,Yes,300x250 ,No,No,300x250 ,300x250 ,100,14.9%,"620,000","620,000","19,000,000",
,,domain: pluska.sk,[D],News > Newspapers,Yes,Yes,160x600 300x250 468x60 ,No,No,160x600 300x250 468x60 ,160x600 300x250 468x60 ,100,14.8%,"620,000","620,000","16,000,000",
,,domain: shmu.sk,[D],News > Weather,No,No,No,No,No,No,No,99,14.7%,"620,000","620,000","19,000,000",
,,domain: vub.sk,[D],Finance > Banking,No,No,No,No,No,No,No,100,13.5%,"570,000","570,000","31,000,000",
,,domain: blog.cz,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,101x76 120x60 300x250 300x300 ,No,No,No,No,98,13.4%,"560,000","570,000","4,200,000",
,,domain: mimibazar.sk,[D],Shopping,Yes,Yes,120x600 160x600 250x250 300x250 468x60 728x90 ,No,No,120x600 160x600 250x250 300x250 468x60 728x90 ,120x600 160x600 250x250 300x250 468x60 728x90 ,100,13.4%,"560,000","560,000","55,000,000",
,,domain: tvnoviny.sk,[D],News > Gossip & Tabloid News,Yes,No,300x100 300x300 650x60 650x125 1000x100 ,No,No,No,No,99,13.3%,"560,000","560,000","9,000,000",
,,domain: estranky.sk,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,Yes,No,No,No,No,100,12.4%,"520,000","520,000","4,200,000",
,,domain: heureka.sk,[D],Computers & Electronics > Consumer Electronics,Yes,No,No,No,No,No,No,100,12.4%,"520,000","520,000","6,200,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,12.2%,"510,000","510,000","16,000,000",
,,domain: szm.com,[D],Arts & Entertainment > Music & Audio > Music Reference > Sheet Music,Yes,Yes,125x125 140x29 250x250 468x60 728x90 ,No,No,250x250 728x90 ,250x250 728x90 ,100,12.2%,"510,000","510,000","3,800,000",
,,domain: tatrabanka.sk,[D],Finance > Banking,No,No,No,No,No,No,No,98,12.1%,"510,000","520,000","12,000,000",
,,domain: chyba.sk,[D],,Yes,No,No,No,No,No,No,100,11.2%,"470,000","470,000","1,400,000",
,,domain: edupage.org,[D],Jobs & Education > Education,No,No,No,No,No,No,No,100,11.2%,"470,000","470,000","12,000,000",
,,domain: najnakup.sk,[D],Computers & Electronics,Yes,Yes,No,No,No,No,No,99,11.0%,"460,000","470,000","5,100,000",
,,domain: superhry.cz,[D],Games > Online Games,Yes,Yes,336x280 ,No,No,336x280 ,336x280 ,97,11.0%,"460,000","470,000","21,000,000",
,,domain: joj.sk,[D],Arts & Entertainment > TV & Video > TV Shows & Programs > TV Sci-Fi & Fantasy Shows,Yes,No,Yes,No,No,No,No,97,11.0%,"460,000","480,000","6,700,000",
,,domain: orange.sk,[D],Internet & Telecom > Mobile & Wireless,Yes,No,Yes,No,No,No,No,100,10.3%,"430,000","430,000","8,300,000",
,,domain: mall.sk,[D],Home & Garden > Kitchen & Dining > Major Kitchen Appliances,No,No,No,No,No,No,No,100,10.2%,"430,000","430,000","5,100,000",
,,domain: idnes.cz,[D],News,Yes,No,300x250 468x60 745x100 ,No,No,No,No,100,10.2%,"430,000","430,000","12,000,000",
,,domain: webnode.sk,[D],Arts & Entertainment > TV & Video,Yes,Yes,120x600 160x600 200x200 300x250 468x60 ,No,No,120x600 160x600 200x200 300x250 468x60 ,120x600 160x600 200x200 300x250 468x60 ,100,10.2%,"430,000","430,000","5,100,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,10.2%,"430,000","430,000","1,800,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,10.1%,"430,000","430,000","1,200,000",
,,domain: estranky.cz,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,65x49 101x76 120x600 300x300 468x60 728x90 ,No,No,120x600 468x60 728x90 ,120x600 468x60 728x90 ,100,9.3%,"390,000","390,000","2,200,000",
,,domain: orsr.sk,[D],Business & Industrial,No,No,No,No,No,No,No,100,9.2%,"390,000","390,000","6,700,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,9.2%,"380,000","390,000","13,000,000",
,,domain: hnonline.sk,[D],News,Yes,Yes,Yes,No,No,No,No,100,9.2%,"380,000","380,000","6,200,000",
,,domain: zlatestranky.sk,[D],Internet & Telecom,No,No,No,No,No,No,No,99,9.2%,"380,000","390,000","1,500,000",
,,domain: pozri.sk,[D],Internet & Telecom > Web Portals,Yes,Yes,120x240 120x600 468x60 728x90 ,No,No,No,No,99,9.1%,"380,000","380,000","2,000,000",
,,domain: uloz.to,[D],Online Communities > File Sharing & Hosting,Yes,No,468x60 ,No,No,No,No,99,9.1%,"380,000","390,000","8,300,000",
,,domain: autovia.sk,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,250x250 468x60 ,No,No,250x250 468x60 ,250x250 468x60 ,100,8.5%,"360,000","360,000","16,000,000",
,,domain: alza.sk,[D],Computers & Electronics,No,No,No,No,No,No,No,100,8.5%,"360,000","360,000","6,100,000",
,,domain: t-mobile.sk,[D],Internet & Telecom > Mobile & Wireless,No,No,No,No,No,No,No,100,8.4%,"350,000","350,000","6,800,000",
,,domain: centrum.cz,[D],Internet & Telecom > Web Portals,Yes,Yes,160x600 728x90 ,No,No,728x90 ,No,100,8.4%,"350,000","350,000","4,600,000",
,,domain: zdravie.sk,[D],Health,Yes,Yes,120x60 120x90 120x600 160x600 200x200 250x250 300x100 300x250 468x60 728x90 ,No,No,No,No,100,8.4%,"350,000","350,000","1,500,000",
,,domain: laska24.com,[D],,No,No,No,No,No,No,No,99,8.3%,"350,000","350,000","1,200,000",
,,domain: inzercia.sk,[D],Shopping > Classifieds,Yes,Yes,80x60 ,No,No,No,No,99,8.3%,"350,000","350,000","2,200,000",
,,domain: bazar.sk,[D],Shopping > Classifieds,Yes,No,Yes,No,No,No,No,99,8.3%,"350,000","350,000","4,700,000",
,,domain: etrend.sk,[D],Finance,Yes,Yes,Yes,No,No,No,No,100,7.7%,"330,000","330,000","2,100,000",
,,domain: tv-program.sk,[D],Arts & Entertainment > TV & Video,Yes,Yes,120x600 ,No,No,No,No,100,7.7%,"330,000","330,000","2,000,000",
,,domain: tipos.sk,[D],Sports > Team Sports > Basketball,No,No,No,No,No,No,No,100,7.7%,"320,000","320,000","4,300,000",
