Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,68.6%,"3,200,000","3,200,000","1,900,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,35.2%,"1,600,000","1,600,000","66,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,35.0%,"1,600,000","1,600,000","110,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,29.6%,"1,400,000","1,400,000","14,000,000",
,,domain: gumtree.co.za,[D],Shopping > Classifieds,Yes,No,Yes,No,No,No,No,100,22.0%,"1,000,000","1,000,000","73,000,000",
,,domain: fnb.co.za,[D],Finance,No,No,No,No,No,No,No,100,21.9%,"1,000,000","1,000,000","50,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,21.8%,"1,000,000","1,000,000","8,200,000",
,,domain: absa.co.za,[D],Finance,No,No,No,No,No,No,No,100,21.7%,"1,000,000","1,000,000","26,000,000",
,,domain: standardbank.co.za,[D],Finance,Yes,No,No,No,No,No,No,99,21.6%,"1,000,000","1,000,000","60,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.9%,"910,000","930,000","10,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,18.2%,"840,000","840,000","23,000,000",
