Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,69.1%,"6,200,000","6,200,000","6,400,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,62.8%,"5,600,000","5,700,000","870,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,56.9%,"5,100,000","5,100,000","600,000,000",
,,domain: blocket.se,[D],Shopping > Classifieds,Yes,Yes,Yes,No,No,No,No,100,47.9%,"4,300,000","4,300,000","960,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,47.5%,"4,200,000","4,200,000","170,000,000",
,,domain: aftonbladet.se,[D],News,Yes,Yes,Yes,No,No,No,No,100,47.0%,"4,200,000","4,200,000","210,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.6%,"3,500,000","3,500,000","50,000,000",
,,domain: hitta.se,[D],Reference > Directories & Listings > Business & Personal Listings,Yes,Yes,Yes,No,No,No,No,100,39.2%,"3,500,000","3,500,000","56,000,000",
,,domain: eniro.se,[D],Shopping > Classifieds,Yes,Yes,100x70 468x60 ,No,No,No,No,100,38.7%,"3,400,000","3,500,000","51,000,000",
,,domain: swedbank.se,[D],Finance > Banking,Yes,No,No,No,No,No,No,99,34.8%,"3,100,000","3,100,000","500,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,32.2%,"2,900,000","2,900,000","45,000,000",
,,domain: expressen.se,[D],News,Yes,No,No,No,No,No,No,100,26.7%,"2,400,000","2,400,000","88,000,000",
,,domain: blogg.se,[D],Online Communities > Blogging Resources & Services,Yes,Yes,100x100 120x60 140x350 160x60 160x600 178x56 180x150 200x200 203x54 250x90 250x120 250x240 250x250 300x250 300x300 320x240 336x280 468x60 728x90 980x120 ,No,No,160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,99,26.3%,"2,300,000","2,400,000","50,000,000",
,,domain: svt.se,[D],Arts & Entertainment > TV & Video,No,No,No,No,No,No,No,100,24.3%,"2,200,000","2,200,000","89,000,000",
,,domain: nordea.se,[D],Finance > Banking,No,No,No,No,No,No,No,100,22.4%,"2,000,000","2,000,000","140,000,000",
,,domain: hemnet.se,[D],Real Estate > Apartments & Residential Rentals,Yes,No,Yes,No,No,No,No,100,21.7%,"1,900,000","1,900,000","110,000,000",
,,domain: msn.se,[D],Internet & Telecom > Search Engines,Yes,No,415x115 ,No,No,No,No,100,20.0%,"1,800,000","1,800,000","45,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,20.0%,"1,800,000","1,800,000","16,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,19.9%,"1,800,000","1,800,000","130,000,000",
,,domain: tradera.com,[D],Shopping > Auctions,Yes,Yes,170x136 ,No,No,No,No,99,18.2%,"1,600,000","1,600,000","230,000,000",
,,domain: yr.no,[D],News > Weather,No,No,No,No,No,No,No,100,16.7%,"1,500,000","1,500,000","19,000,000",
,,domain: svtplay.se,[D],Computers & Electronics > Software > Internet Software > Internet Clients & Browsers,No,No,No,No,No,No,No,100,16.5%,"1,500,000","1,500,000","34,000,000",
,,domain: klart.se,[D],News > Weather,Yes,Yes,120x600 160x600 690x90 728x90 980x120 ,No,No,120x600 728x90 ,120x600 728x90 ,100,16.4%,"1,500,000","1,500,000","14,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,16.3%,"1,500,000","1,500,000","11,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,15.1%,"1,300,000","1,300,000","19,000,000",
,,domain: flashback.org,[D],Online Communities > Forum & Chat Providers,No,No,No,No,No,No,No,100,15.1%,"1,300,000","1,300,000","23,000,000",
,,domain: handelsbanken.se,[D],Finance > Banking,No,No,No,No,No,No,No,100,15.1%,"1,300,000","1,300,000","89,000,000",
,,domain: smhi.se,[D],News > Weather,No,No,No,No,No,No,No,98,15.0%,"1,300,000","1,400,000","28,000,000",
,,domain: sverigesradio.se,[D],Arts & Entertainment > TV & Video > TV Shows & Programs,No,No,No,No,No,No,No,98,15.0%,"1,300,000","1,400,000","16,000,000",
,,domain: dn.se,[D],News > Newspapers,Yes,Yes,Yes,No,No,No,No,99,14.9%,"1,300,000","1,300,000","34,000,000",
,,domain: telia.se,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones,No,No,No,No,No,No,No,98,14.8%,"1,300,000","1,300,000","31,000,000",
,,domain: thepiratebay.org,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,13.6%,"1,200,000","1,200,000","61,000,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,13.6%,"1,200,000","1,200,000","6,100,000",
,,domain: pricerunner.se,[D],Shopping > Consumer Resources,Yes,Yes,Yes,No,No,No,No,100,12.5%,"1,100,000","1,100,000","12,000,000",
,,domain: arbetsformedlingen.se,[D],Business & Industrial > Business Operations > Human Resources > Recruitment & Staffing,No,No,No,No,No,No,No,100,12.4%,"1,100,000","1,100,000","74,000,000",
,,domain: e24.se,[D],News > Business News,Yes,Yes,No,No,No,No,No,100,12.4%,"1,100,000","1,100,000","11,000,000",
,,domain: prisjakt.nu,[D],Shopping > Consumer Resources > Product Reviews & Price Comparisons > Price Comparisons,Yes,Yes,300x250 320x50 728x90 ,No,No,No,No,100,12.3%,"1,100,000","1,100,000","16,000,000",
,,domain: skatteverket.se,[D],Finance > Accounting & Auditing,No,No,No,No,No,No,No,99,12.3%,"1,100,000","1,100,000","35,000,000",
,,domain: sebank.se,[D],Finance > Banking,No,No,No,No,No,No,No,100,11.4%,"1,000,000","1,000,000","35,000,000",
,,domain: sj.se,[D],Travel > Bus & Rail,Yes,Yes,No,No,No,No,No,100,11.4%,"1,000,000","1,000,000","18,000,000",
,,domain: tv.nu,[D],Arts & Entertainment > TV & Video > TV Shows & Programs,Yes,No,250x360 468x15 728x90 ,No,No,No,No,100,11.4%,"1,000,000","1,000,000","23,000,000",
,,domain: familjeliv.se,[D],People & Society > Family & Relationships > Family > Parenting,Yes,No,Yes,No,No,No,No,100,11.4%,"1,000,000","1,000,000","16,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,11.3%,"1,000,000","1,000,000","5,700,000",
,,domain: seb.se,[D],Finance > Investing,Yes,Yes,No,No,No,No,No,99,11.2%,"1,000,000","1,000,000","16,000,000",
,,domain: svenskfast.se,[D],Real Estate > Real Estate Agencies,Yes,No,No,No,No,No,No,100,11.2%,"1,000,000","1,000,000","9,800,000",
,,domain: ikea.com,[D],Home & Garden > Home Furnishings,No,No,No,No,No,No,No,100,11.2%,"1,000,000","1,000,000","41,000,000",
,,domain: elgiganten.se,[D],Computers & Electronics,No,No,No,No,No,No,No,100,10.4%,"920,000","920,000","13,000,000",
,,domain: allaannonser.se,[D],Shopping > Classifieds,Yes,Yes,250x250 728x90 ,No,No,No,No,100,10.3%,"920,000","920,000","5,200,000",
