Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,62.4%,"4,600,000","4,700,000","4,400,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,42.5%,"3,100,000","3,100,000","310,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,39.4%,"2,900,000","2,900,000","45,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,32.2%,"2,400,000","2,400,000","81,000,000",
,,domain: bluewin.ch,[D],Internet & Telecom > Service Providers > ISPs,Yes,Yes,No,No,No,No,No,100,31.8%,"2,400,000","2,400,000","160,000,000",
,,domain: search.ch,[D],Internet & Telecom > Search Engines,Yes,Yes,Yes,No,No,No,No,100,24.3%,"1,800,000","1,800,000","38,000,000",
,,domain: ricardo.ch,[D],Shopping > Classifieds,No,No,No,No,No,No,No,100,24.2%,"1,800,000","1,800,000","340,000,000",
,,domain: local.ch,[D],Reference > Directories & Listings,Yes,No,No,No,No,No,No,100,24.2%,"1,800,000","1,800,000","32,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,23.9%,"1,800,000","1,800,000","110,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,21.9%,"1,600,000","1,600,000","14,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,19.9%,"1,500,000","1,500,000","13,000,000",
,,domain: sbb.ch,[D],Travel > Bus & Rail,Yes,Yes,120x600 468x60 ,No,No,No,No,100,18.0%,"1,300,000","1,300,000","34,000,000",
,,domain: admin.ch,[D],Law & Government > Government > State & Local Government,Yes,No,326x600 ,No,No,No,No,98,18.0%,"1,300,000","1,400,000","28,000,000",
,,domain: blick.ch,[D],News,Yes,Yes,250x250 300x600 835x100 ,No,No,No,No,100,15.0%,"1,100,000","1,100,000","74,000,000",
,,domain: swisscom.ch,[D],Internet & Telecom > Service Providers > Phone Service Providers,Yes,Yes,No,No,No,No,No,100,13.6%,"1,000,000","1,000,000","11,000,000",
,,domain: sf.tv,[D],Arts & Entertainment > TV & Video > TV Guides & Reference,Yes,No,No,No,No,No,No,98,13.3%,"990,000","1,000,000","42,000,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,12.4%,"920,000","920,000","18,000,000",
,,domain: 20min.ch,[D],News > Broadcast & Network News,Yes,Yes,160x600 245x770 300x250 468x400 994x118 ,No,No,No,No,100,12.3%,"910,000","910,000","28,000,000",
,,domain: postfinance.ch,[D],Finance > Credit & Lending,No,No,No,No,No,No,No,99,12.3%,"910,000","920,000","55,000,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,11.2%,"830,000","840,000","5,100,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,10.2%,"750,000","750,000","2,900,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,10.2%,"750,000","760,000","7,500,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,10.2%,"750,000","750,000","4,600,000",
,,domain: partypoker.com,[D],,Yes,No,No,No,No,No,No,99,10.2%,"750,000","760,000","2,000,000",
,,domain: autoscout24.ch,[D],Autos & Vehicles > Vehicle Shopping,Yes,Yes,160x600 300x250 728x90 ,No,No,No,No,99,10.2%,"750,000","760,000","140,000,000",
,,domain: pgmediaserve.com,[D],,No,No,No,No,No,No,No,100,10.1%,"740,000","750,000","2,400,000",
,,domain: ubs.com,[D],Business & Industrial > Business Finance > Investment Banking,No,No,No,No,No,No,No,100,9.3%,"690,000","690,000","38,000,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,9.3%,"690,000","690,000","13,000,000",
,,domain: moneyhouse.ch,[D],Business & Industrial > Business Services,Yes,Yes,160x600 180x250 300x250 380x55 ,No,No,No,No,100,9.3%,"690,000","690,000","4,200,000",
,,domain: raiffeisen.ch,[D],Finance > Credit & Lending,No,No,No,No,No,No,No,100,9.2%,"680,000","680,000","9,900,000",
,,domain: booking.com,[D],Travel > Hotels & Accommodations,Yes,No,No,No,No,No,No,100,8.6%,"630,000","630,000","12,000,000",
,,domain: anibis.ch,[D],Shopping > Classifieds,Yes,Yes,180x150 728x90 ,No,No,728x90 ,728x90 ,100,8.5%,"630,000","630,000","90,000,000",
,,domain: partycasino.com,[D],,Yes,No,No,No,No,No,No,100,8.4%,"620,000","620,000","1,600,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,8.4%,"620,000","620,000","6,700,000",
,,domain: gmx.net,[D],Internet & Telecom > Web Portals,Yes,Yes,468x60 ,No,No,468x60 ,No,100,8.4%,"620,000","620,000","20,000,000",
,,domain: homegate.ch,[D],Real Estate > Property Management,Yes,Yes,Yes,No,No,No,No,100,8.4%,"620,000","620,000","46,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,8.3%,"620,000","620,000","3,200,000",
,,domain: gmx.ch,[D],Internet & Telecom > Email & Messaging,Yes,No,No,No,No,No,No,99,8.3%,"620,000","620,000","12,000,000",
