Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,90.0%,"14,000,000","14,000,000","8,700,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,74.9%,"12,000,000","12,000,000","17,000,000,000",
,,domain: wretch.cc,[D],Online Communities > Online Journals & Personal Sites,Yes,Yes,160x600 336x280 728x90 ,No,No,160x600 336x280 728x90 ,No,99,61.6%,"9,900,000","9,900,000","3,000,000,000",
,,domain: youtube.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,98,56.2%,"9,000,000","9,100,000","1,000,000,000",
,,domain: pixnet.net,[D],Online Communities > Online Journals & Personal Sites,Yes,Yes,120x600 125x125 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,46.4%,"7,400,000","7,500,000","140,000,000",
,,domain: yahoo.com.tw,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,100,41.8%,"6,700,000","6,700,000","450,000,000",
,,domain: yam.com,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,99,38.4%,"6,200,000","6,200,000","190,000,000",
,,domain: pchome.com.tw,[D],Internet & Telecom > Web Portals,Yes,Yes,468x60 ,No,No,No,No,98,37.9%,"6,100,000","6,200,000","310,000,000",
,,domain: udn.com,[D],News,Yes,Yes,240x400 300x250 468x60 728x90 ,No,No,No,No,100,35.3%,"5,600,000","5,600,000","130,000,000",
,,domain: xuite.net,[D],Online Communities > Blogging Resources & Services,Yes,Yes,90x34 91x34 92x34 ,No,No,No,No,100,35.1%,"5,600,000","5,600,000","88,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,34.9%,"5,600,000","5,600,000","55,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,34.8%,"5,600,000","5,600,000","380,000,000",
,,domain: hinet.net,[D],Internet & Telecom > Web Portals,Yes,Yes,Yes,No,No,No,No,99,34.5%,"5,500,000","5,600,000","230,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,26.7%,"4,300,000","4,300,000","60,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,23.8%,"3,800,000","3,900,000","38,000,000",
,,domain: mobile01.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,190x240 300x100 300x250 728x90 806x100 ,No,No,300x250 728x90 ,300x250 728x90 ,100,23.8%,"3,800,000","3,800,000","280,000,000",
,,domain: ruten.com.tw,[D],Shopping > Shopping Portals & Search Engines,Yes,Yes,120x600 160x600 300x250 728x90 ,No,No,160x600 300x250 728x90 ,300x250 728x90 ,100,21.6%,"3,500,000","3,500,000","460,000,000",
,,domain: yahoo.net,[D],Internet & Telecom > Web Portals,Yes,No,300x70 728x90 ,No,No,No,No,100,20.0%,"3,200,000","3,200,000","34,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,19.9%,"3,200,000","3,200,000","50,000,000",
,,domain: tudou.com,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,18.2%,"2,900,000","2,900,000","160,000,000",
,,domain: baidu.com,[D],Internet & Telecom > Search Engines,Yes,Yes,200x200 250x250 300x250 336x280 450x50 468x60 480x70 ,No,No,No,No,100,17.9%,"2,900,000","2,900,000","120,000,000",
,,domain: momoshop.com.tw,[D],Shopping > Shopping Portals & Search Engines,No,No,No,No,No,No,No,98,17.9%,"2,900,000","2,900,000","120,000,000",
,,domain: eyny.com,[D],Online Communities > Forum & Chat Providers,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,100,17.7%,"2,800,000","2,800,000","250,000,000",
,,domain: msn.com.tw,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,16.4%,"2,600,000","2,600,000","67,000,000",
,,domain: gamer.com.tw,[D],Games,Yes,No,300x250 ,No,No,No,No,100,16.4%,"2,600,000","2,600,000","280,000,000",
,,domain: nownews.com,[D],News,Yes,Yes,300x250 468x60 ,No,No,No,No,100,16.2%,"2,600,000","2,600,000","54,000,000",
