Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,83.4%,"23,000,000","24,000,000","43,000,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,56.8%,"16,000,000","16,000,000","1,300,000,000",
,,domain: meb.gov.tr,[D],Jobs & Education > Education,Yes,No,No,No,No,No,No,97,34.9%,"9,800,000","10,000,000","1,300,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,32.4%,"9,100,000","9,100,000","310,000,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,32.2%,"9,000,000","9,000,000","120,000,000",
,,domain: izlesene.com,[D],Online Communities > Photo & Video Sharing,Yes,No,No,No,No,No,No,99,31.7%,"8,900,000","9,000,000","170,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,26.5%,"7,400,000","7,500,000","66,000,000",
,,domain: blogcu.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,26.3%,"7,400,000","7,400,000","50,000,000",
,,domain: sahibinden.com,[D],Shopping > Classifieds,Yes,Yes,250x250 728x90 ,No,No,No,No,100,24.1%,"6,800,000","6,800,000","1,700,000,000",
,,domain: hurriyet.com.tr,[D],News > Newspapers,Yes,No,No,No,No,No,No,99,23.7%,"6,600,000","6,700,000","720,000,000",
,,domain: milliyet.com.tr,[D],News > Newspapers,Yes,No,No,No,No,No,No,100,22.2%,"6,200,000","6,200,000","870,000,000",
,,domain: ekolay.net,[D],Internet & Telecom > Web Portals,Yes,Yes,120x600 300x250 468x60 728x90 ,No,No,No,No,100,20.3%,"5,700,000","5,700,000","340,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,20.3%,"5,700,000","5,700,000","50,000,000",
,,domain: oyunlar1.com,[D],Games > Online Games,Yes,Yes,160x600 300x250 ,No,No,160x600 300x250 ,No,100,20.1%,"5,600,000","5,600,000","370,000,000",
,,domain: oyunskor.com,[D],Games,Yes,Yes,120x600 160x600 300x250 336x280 468x60 728x90 ,No,No,No,No,100,16.6%,"4,700,000","4,700,000","370,000,000",
,,domain: facebookvideoindir.gen.tr,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,No,No,No,No,No,100,16.5%,"4,600,000","4,600,000","34,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,16.5%,"4,600,000","4,700,000","35,000,000",
,,domain: vidivodo.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,174x120 650x150 650x158 650x161 ,No,No,No,No,100,16.4%,"4,600,000","4,600,000","41,000,000",
,,domain: kraloyun.com,[D],Games > Online Games,Yes,Yes,120x600 160x600 300x250 468x60 728x90 ,No,No,No,No,99,16.4%,"4,600,000","4,700,000","170,000,000",
,,domain: donanimhaber.com,[D],,Yes,No,No,No,No,No,No,100,14.9%,"4,200,000","4,200,000","26,000,000",
,,domain: haberler.com,[D],News,Yes,Yes,300x250 728x90 ,No,No,No,No,100,13.6%,"3,800,000","3,800,000","130,000,000",
,,domain: haberturk.com,[D],News > Broadcast & Network News,Yes,No,Yes,No,No,No,No,100,13.5%,"3,800,000","3,800,000","310,000,000",
,,domain: gittigidiyor.com,[D],Shopping > Auctions,Yes,Yes,300x250 728x90 ,No,No,No,No,100,13.5%,"3,800,000","3,800,000","140,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,12.6%,"3,500,000","3,500,000","130,000,000",
,,domain: travian.com.tr,[D],Games > Online Games > Massive Multiplayer,No,No,No,No,No,No,No,100,12.5%,"3,500,000","3,500,000","190,000,000",
,,domain: kirmiziyol.com,[D],News > Weather,No,No,No,No,No,No,No,100,12.4%,"3,500,000","3,500,000","46,000,000",
,,domain: memurlar.net,[D],People & Society > Social Issues & Advocacy > Work & Labor Issues,Yes,Yes,120x600 160x600 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 300x250 336x280 468x60 728x90 ,120x600 160x600 300x250 336x280 468x60 728x90 ,100,12.4%,"3,500,000","3,500,000","170,000,000",
,,domain: forumdas.net,[D],Online Communities > Forum & Chat Providers,Yes,Yes,160x600 250x250 300x250 728x90 ,No,No,No,No,99,12.2%,"3,400,000","3,400,000","11,000,000",
,,domain: timsah.com,[D],Online Communities > Photo & Video Sharing,Yes,Yes,Yes,No,No,No,No,100,11.4%,"3,200,000","3,200,000","29,000,000",
,,domain: sabah.com.tr,[D],News,Yes,No,300x100 300x250 468x60 728x90 ,No,No,No,No,99,11.2%,"3,100,000","3,200,000","330,000,000",
,,domain: garanti.com.tr,[D],Finance > Banking,Yes,No,No,No,No,No,No,100,11.2%,"3,100,000","3,200,000","130,000,000",
