Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: vkontakte.ru,[D],Online Communities > Social Networks,Yes,No,No,No,No,No,No,100,68.6%,"5,600,000","5,600,000","9,300,000,000",
,,domain: mail.ru,[D],Internet & Telecom > Email & Messaging,Yes,Yes,Yes,No,No,No,No,99,68.3%,"5,600,000","5,700,000","1,400,000,000",
,,domain: yandex.ua,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,56.9%,"4,700,000","4,700,000","660,000,000",
,,domain: yandex.ru,[D],Internet & Telecom > Search Engines,Yes,Yes,88x31 120x100 ,No,No,No,No,100,51.6%,"4,200,000","4,200,000","260,000,000",
,,domain: odnoklassniki.ru,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,43.0%,"3,500,000","3,500,000","880,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,43.0%,"3,500,000","3,500,000","60,000,000",
,,domain: ukr.net,[D],News > Local News,Yes,Yes,300x250 468x60 728x90 ,No,No,300x250 468x60 728x90 ,468x60 ,100,35.5%,"2,900,000","2,900,000","380,000,000",
,,domain: narod.ru,[D],Internet & Telecom > Web Services > Web Hosting & Domain Registration,Yes,Yes,100x100 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,35.3%,"2,900,000","2,900,000","26,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,35.0%,"2,900,000","2,900,000","490,000,000",
,,domain: marketgid.com,[D],Shopping > Shopping Portals & Search Engines,Yes,No,Yes,No,No,No,No,100,34.9%,"2,900,000","2,900,000","46,000,000",
,,domain: vk.com,[D],Online Communities > Social Networks,No,No,No,No,No,No,No,100,32.2%,"2,600,000","2,600,000","250,000,000",
,,domain: at.ua,[D],Internet & Telecom > Web Services > Web Hosting & Domain Registration,Yes,Yes,80x15 83x31 100x100 120x60 120x240 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,28.9%,"2,400,000","2,400,000","41,000,000",
,,domain: gismeteo.ua,[D],News > Weather,Yes,No,No,No,No,No,No,98,28.7%,"2,400,000","2,400,000","55,000,000",
,,domain: tochka.net,[D],Internet & Telecom > Web Portals,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,99,26.3%,"2,200,000","2,200,000","28,000,000",
,,domain: i.ua,[D],Internet & Telecom > Web Portals,Yes,Yes,200x200 300x250 728x90 ,No,No,200x200 300x250 728x90 ,200x200 300x250 728x90 ,100,26.3%,"2,200,000","2,200,000","130,000,000",
,,domain: ex.ua,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,24.1%,"2,000,000","2,000,000","340,000,000",
,,domain: ucoz.ru,[D],Internet & Telecom > Web Services > Web Design & Development,Yes,Yes,83x31 88x31 88x88 98x24 100x100 120x60 120x240 120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 336x280 468x60 728x90 ,100,24.0%,"2,000,000","2,000,000","34,000,000",
,,domain: livejournal.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,160x600 236x90 300x250 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 300x250 468x60 728x90 ,100,24.0%,"2,000,000","2,000,000","56,000,000",
,,domain: bigmir.net,[D],Internet & Telecom > Web Portals,Yes,No,No,No,No,No,No,100,23.9%,"2,000,000","2,000,000","82,000,000",
,,domain: meta.ua,[D],Internet & Telecom > Web Portals,Yes,Yes,120x60 120x90 240x400 728x90 ,No,No,No,No,100,22.1%,"1,800,000","1,800,000","67,000,000",
,,domain: rambler.ru,[D],Internet & Telecom > Web Portals,Yes,No,Yes,No,No,No,No,100,21.8%,"1,800,000","1,800,000","190,000,000",
,,domain: rozetka.com.ua,[D],Shopping > Classifieds,Yes,No,728x90 ,No,No,No,No,100,21.7%,"1,800,000","1,800,000","46,000,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,21.7%,"1,800,000","1,800,000","18,000,000",
,,domain: marketgid.info,[D],,No,No,No,No,No,No,No,100,19.9%,"1,600,000","1,600,000","6,000,000",
,,domain: emarket.ua,[D],Reference > Directories & Listings,Yes,No,No,No,No,No,No,100,19.8%,"1,600,000","1,600,000","60,000,000",
,,domain: liveinternet.ru,[D],Internet & Telecom > Web Portals,Yes,Yes,56x42 83x31 105x35 105x36 105x38 105x39 105x40 120x30 120x240 120x600 160x600 283x118 300x128 300x250 468x60 660x120 728x90 ,No,No,No,No,100,19.8%,"1,600,000","1,600,000","41,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,19.7%,"1,600,000","1,600,000","19,000,000",
,,domain: letitbit.net,[D],Online Communities > File Sharing & Hosting,Yes,No,Yes,No,No,No,No,99,19.7%,"1,600,000","1,600,000","31,000,000",
,,domain: vsemtube.ru,[D],People & Society > Family & Relationships > Family > Parenting > Pregnancy & Maternity,Yes,No,No,No,No,No,No,100,19.7%,"1,600,000","1,600,000","5,600,000",
,,domain: odnoklassniki.ua,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,98,17.9%,"1,500,000","1,500,000","300,000,000",
