Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,74.5%,"2,600,000","2,600,000","2,700,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,99,61.1%,"2,100,000","2,200,000","250,000,000",
,,domain: live.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,100,46.1%,"1,600,000","1,600,000","160,000,000",
,,domain: maktoob.com,[D],Internet & Telecom > Web Portals,Yes,Yes,No,No,No,No,No,100,38.5%,"1,300,000","1,300,000","29,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,38.2%,"1,300,000","1,300,000","21,000,000",
,,domain: msn.com,[D],Internet & Telecom > Web Portals,Yes,Yes,60x60 68x48 75x75 85x85 300x250 728x90 ,No,No,No,No,100,35.0%,"1,200,000","1,200,000","18,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,32.1%,"1,100,000","1,100,000","12,000,000",
,,domain: mobi-master.net,[D],Internet & Telecom > Mobile & Wireless > Mobile Phones,No,No,No,No,No,No,No,100,26.5%,"930,000","930,000","3,500,000",
,,domain: microsoft.com,[D],Computers & Electronics > Software,Yes,Yes,70x70 130x24 ,No,No,No,No,98,23.7%,"830,000","840,000","6,200,000",
,,domain: conduit.com,[D],Internet & Telecom > Search Engines,Yes,No,No,No,No,No,No,99,17.8%,"620,000","630,000","10,000,000",
,,domain: mozook.com,[D],Internet & Telecom > Mobile & Wireless > Mobile Apps & Add-Ons,No,No,No,No,No,No,No,100,16.2%,"570,000","570,000","1,800,000",
,,domain: etisalat.ae,[D],Internet & Telecom > Service Providers,No,No,No,No,No,No,No,100,14.9%,"520,000","520,000","8,200,000",
,,domain: bing.com,[D],Internet & Telecom > Search Engines,Yes,Yes,No,No,No,No,No,100,14.8%,"520,000","520,000","8,300,000",
,,domain: 4shared.com,[D],Online Communities > File Sharing & Hosting,Yes,Yes,Yes,No,No,No,No,100,14.7%,"520,000","520,000","20,000,000",
,,domain: yieldmanager.com,[D],Computers & Electronics > Computer Security,Yes,No,No,No,No,No,No,99,13.4%,"470,000","470,000","1,500,000",
,,domain: adobe.com,[D],Computers & Electronics > Software > Multimedia Software,No,No,No,No,No,No,No,99,12.2%,"430,000","430,000","2,600,000",
,,domain: groupon.ae,[D],Beauty & Fitness > Spas & Beauty Services,No,No,No,No,No,No,No,99,12.0%,"420,000","430,000","1,600,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,12.0%,"420,000","430,000","2,600,000",
,,domain: gulfnews.com,[D],News,Yes,Yes,120x600 160x600 300x250 300x600 468x60 728x90 ,No,No,No,No,100,11.2%,"390,000","390,000","7,500,000",
,,domain: windows.com,[D],Computers & Electronics > Software > Operating Systems > Windows OS,Yes,Yes,No,No,No,No,No,100,11.1%,"390,000","390,000","1,500,000",
,,domain: emirates.com,[D],Travel > Air Travel,No,No,No,No,No,No,No,100,11.0%,"390,000","390,000","16,000,000",
,,domain: metacafe.com,[D],Online Communities > Photo & Video Sharing > Video Sharing,Yes,Yes,160x600 300x250 450x50 468x60 480x70 728x90 ,No,No,160x600 300x250 728x90 ,160x600 300x250 728x90 ,100,11.0%,"380,000","380,000","10,000,000",
,,domain: twitter.com,[D],Internet & Telecom > Email & Messaging,No,No,No,No,No,No,No,100,10.2%,"360,000","360,000","7,500,000",
,,domain: cnet.com,[D],Computers & Electronics > Consumer Electronics,Yes,Yes,160x600 300x250 475x35 728x90 ,No,No,No,No,100,10.2%,"360,000","360,000","2,600,000",
,,domain: dubizzle.com,[D],,Yes,No,Yes,No,No,No,No,100,10.1%,"350,000","350,000","38,000,000",
,,domain: linkedin.com,[D],Online Communities > Social Networks,Yes,Yes,No,No,No,No,No,100,10.1%,"350,000","350,000","12,000,000",
,,domain: imvu.com,[D],Online Communities > Social Networks,Yes,No,120x600 160x600 300x250 728x90 ,No,No,No,No,100,10.0%,"350,000","350,000","1,800,000",
,,domain: babylon.com,[D],Reference > Language Resources > Foreign Language Resources > Translation Tools & Resources,Yes,Yes,160x600 300x250 320x50 468x60 728x90 ,No,No,160x600 300x250 468x60 728x90 ,160x600 468x60 ,97,9.9%,"350,000","360,000","6,200,000",
,,domain: uaewomen.net,[D],,Yes,No,120x60 234x60 468x60 ,No,No,No,No,100,9.3%,"320,000","320,000","21,000,000",
,,domain: airarabia.com,[D],Travel > Air Travel,Yes,No,No,No,No,No,No,100,9.1%,"320,000","320,000","4,600,000",
,,domain: manoramaonline.com,[D],News > Newspapers,Yes,Yes,468x60 ,No,No,468x60 ,468x60 ,99,9.1%,"320,000","320,000","38,000,000",
,,domain: bbc.co.uk,[D],News > World News,Yes,Yes,No,No,No,No,No,100,8.4%,"290,000","290,000","8,200,000",
,,domain: ask.com,[D],Internet & Telecom > Search Engines,Yes,Yes,160x600 300x250 468x60 728x90 ,No,No,160x600 300x250 728x90 ,No,100,8.3%,"290,000","290,000","2,800,000",
,,domain: about.com,[D],"Reference > General Reference > How-To, DIY & Expert Content",Yes,Yes,300x250 336x280 728x90 ,No,No,300x250 336x280 728x90 ,No,98,8.3%,"290,000","290,000","1,800,000",
,,domain: flickr.com,[D],Online Communities > Photo & Video Sharing > Photo & Image Sharing,Yes,No,No,No,No,No,No,100,7.6%,"270,000","270,000","6,200,000",
,,domain: dailymotion.com,[D],Arts & Entertainment > Online Media,Yes,Yes,Yes,No,No,No,No,100,7.6%,"260,000","260,000","2,100,000",
,,domain: apple.com,[D],Computers & Electronics > Software > Operating Systems > Mac OS,Yes,Yes,53x53 135x95 187x94 240x48 305x63 305x80 320x37 320x259 385x295 480x187 ,No,No,No,No,99,7.5%,"260,000","270,000","2,000,000",
,,domain: g9g.com,[D],Games > Online Games,Yes,Yes,160x600 336x280 728x90 ,No,No,No,No,99,7.5%,"260,000","260,000","13,000,000",
,,domain: souq.com,[D],Shopping > Classifieds,Yes,Yes,No,No,No,No,No,97,7.5%,"260,000","270,000","7,500,000",
