Publisher,AdWords Posting URL,Ad Planner Name,Type,Category,Has Advertising,Text,Image,Audio,Video,Rich Media,Expandable,Comp Index,Audience Reach,Audience UV (users),Region UV (users),Region PV,
,,domain: zing.vn,[D],World Localities > Asia > Southeast Asia > Viet Nam,Yes,Yes,160x600 180x150 300x100 300x250 468x60 728x90 ,No,No,No,No,98,62.3%,"14,000,000","15,000,000","1,900,000,000",
,,domain: yahoo.com,[D],Internet & Telecom > Web Portals,Yes,Yes,74x48 80x20 100x100 ,No,No,No,No,100,47.0%,"11,000,000","11,000,000","660,000,000",
,,domain: 24h.com.vn,[D],News,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,35.4%,"8,100,000","8,100,000","660,000,000",
,,domain: vnexpress.net,[D],News,Yes,Yes,200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,32.6%,"7,500,000","7,500,000","550,000,000",
,,domain: nhaccuatui.com,[D],World Localities > Asia > Southeast Asia > Viet Nam,Yes,Yes,120x600 160x600 180x150 300x100 300x250 300x600 728x90 ,No,No,No,No,100,26.6%,"6,100,000","6,100,000","280,000,000",
,,domain: dantri.com.vn,[D],People & Society > Ethnic & Identity Groups > Asians & Diaspora > Southeast Asians & Pacific Islanders,Yes,Yes,No,No,No,No,No,99,26.5%,"6,100,000","6,200,000","370,000,000",
,,domain: vatgia.com,[D],Shopping,Yes,Yes,120x60 120x90 125x125 160x600 468x60 720x300 728x90 ,No,No,No,No,99,24.5%,"5,600,000","5,700,000","67,000,000",
,,domain: vietbao.vn,[D],News > Newspapers,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,97,21.8%,"5,000,000","5,200,000","56,000,000",
,,domain: vui.vn,[D],Arts & Entertainment > Music & Audio > World Music > Latin American Music > Latin Pop,Yes,No,No,No,No,No,No,98,20.1%,"4,600,000","4,700,000","210,000,000",
,,domain: soha.vn,[D],Internet & Telecom > Teleconferencing,Yes,No,Yes,No,No,No,No,98,19.8%,"4,600,000","4,600,000","110,000,000",
,,domain: baamboo.com,[D],Arts & Entertainment > Music & Audio,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,99,16.6%,"3,800,000","3,900,000","38,000,000",
,,domain: clip.vn,[D],Arts & Entertainment > TV & Video > Online Video,Yes,No,120x600 728x90 ,No,No,No,No,100,15.3%,"3,500,000","3,500,000","89,000,000",
,,domain: baomoi.com,[D],News,Yes,Yes,Yes,No,No,No,No,100,15.2%,"3,500,000","3,500,000","56,000,000",
,,domain: ngoisao.net,[D],Business & Industrial,Yes,Yes,No,No,No,No,No,100,13.9%,"3,200,000","3,200,000","210,000,000",
,,domain: wikipedia.org,[D],Reference > General Reference > Dictionaries & Encyclopedias,No,No,No,No,No,No,No,100,13.9%,"3,200,000","3,200,000","23,000,000",
,,domain: tin247.com,[D],Online Communities > Social Networks,Yes,No,No,No,No,No,No,100,13.8%,"3,200,000","3,200,000","45,000,000",
,,domain: vietgiaitri.com,[D],News,Yes,Yes,88x31 120x60 120x600 125x125 160x600 200x200 336x280 468x60 720x300 ,No,No,No,No,100,13.7%,"3,200,000","3,200,000","50,000,000",
,,domain: blogspot.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 95x95 120x60 120x90 120x240 120x600 125x125 160x600 200x200 234x60 250x250 300x250 320x50 336x280 450x50 468x60 480x70 728x90 ,No,No,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,120x600 160x600 200x200 250x250 300x250 320x50 336x280 468x60 728x90 ,99,13.7%,"3,200,000","3,200,000","28,000,000",
,,domain: vietnamnet.vn,[D],News,Yes,Yes,Yes,No,No,No,No,100,13.6%,"3,100,000","3,100,000","190,000,000",
,,domain: mediafire.com,[D],Online Communities > File Sharing & Hosting,Yes,No,No,No,No,No,No,100,13.6%,"3,100,000","3,100,000","55,000,000",
,,domain: tuoitre.vn,[D],People & Society > Ethnic & Identity Groups > Asians & Diaspora > Southeast Asians & Pacific Islanders,No,No,No,No,No,No,No,100,13.6%,"3,100,000","3,100,000","67,000,000",
,,domain: facebook.com,[D],Online Communities > Social Networks,Yes,Yes,53x31 70x100 90x90 97x28 120x90 120x600 125x125 132x43 150x150 160x600 200x200 234x60 250x250 254x500 300x250 300x300 336x280 450x50 468x60 468x191 480x70 728x90 ,No,No,120x600 160x600 250x250 300x250 336x280 468x60 728x90 ,728x90 ,99,12.5%,"2,900,000","2,900,000","370,000,000",
,,domain: yume.vn,[D],Internet & Telecom > Web Services > Web Hosting & Domain Registration,Yes,Yes,468x60 728x90 ,No,No,No,No,99,12.4%,"2,800,000","2,900,000","19,000,000",
,,domain: vn-zoom.com,[D],Computers & Electronics,Yes,Yes,Yes,No,No,No,No,99,12.4%,"2,800,000","2,900,000","21,000,000",
,,domain: vtc.vn,[D],,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,98,12.3%,"2,800,000","2,900,000","73,000,000",
,,domain: wordpress.com,[D],Online Communities > Blogging Resources & Services,Yes,Yes,11x60 14x90 88x31 100x60 100x100 118x100 120x40 120x60 120x90 120x135 120x240 120x600 125x80 125x125 126x24 128x29 139x189 140x140 140x350 145x185 150x60 150x120 150x150 150x600 160x160 160x220 160x225 160x600 165x137 170x240 170x500 175x500 180x150 181x54 185x140 192x208 200x72 200x75 200x90 200x91 200x200 220x200 220x220 220x280 224x33 225x85 225x144 225x225 230x230 234x60 240x300 250x250 300x50 300x250 300x500 320x50 336x280 430x50 468x60 728x90 970x66 970x100 1768x51 ,No,No,300x250 336x280 ,336x280 ,99,12.3%,"2,800,000","2,900,000","31,000,000",
,,domain: trochoiviet.com,[D],Games > Computer & Video Games,Yes,No,88x31 200x200 300x250 336x280 728x90 ,No,No,No,No,100,10.4%,"2,400,000","2,400,000","74,000,000",
,,domain: tinmoi.vn,[D],News,Yes,Yes,120x60 120x90 120x240 120x600 160x600 200x200 300x100 300x250 300x600 728x90 ,No,No,No,No,100,10.3%,"2,400,000","2,400,000","34,000,000",
,,domain: mediaseed.info,[D],,No,No,No,No,No,No,No,99,10.2%,"2,300,000","2,400,000","32,000,000",
,,domain: thanhnien.com.vn,[D],News,Yes,No,300x250 300x600 728x90 ,No,No,No,No,100,9.5%,"2,200,000","2,200,000","42,000,000",
,,domain: eva.vn,[D],People & Society > Family & Relationships > Family,Yes,Yes,88x31 120x60 120x90 120x240 120x600 125x125 160x600 180x150 200x200 234x60 240x400 250x250 300x100 300x250 300x600 336x280 468x60 720x300 728x90 ,No,No,No,No,100,9.4%,"2,200,000","2,200,000","42,000,000",
,,domain: hay102.com,[D],Internet & Telecom > Teleconferencing,Yes,No,No,No,No,No,No,100,9.4%,"2,200,000","2,200,000","16,000,000",
,,domain: download.com.vn,[D],Computers & Electronics > Software,Yes,Yes,120x240 120x600 250x250 300x250 728x90 ,No,No,No,No,100,9.4%,"2,200,000","2,200,000","38,000,000",
,,domain: trochoivui.com,[D],Games > Online Games,Yes,Yes,300x250 728x90 ,No,No,300x250 728x90 ,300x250 728x90 ,100,8.5%,"2,000,000","2,000,000","89,000,000",
,,domain: kenh14.vn,[D],Science > Earth Sciences > Atmospheric Science,No,No,No,No,No,No,No,98,8.4%,"1,900,000","2,000,000","110,000,000",
